Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
14486,"ÁLCOOL ETÍLICO LIMPEZA DE AMBIENTES , ALCOOL HIDRATADO NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7930: COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO                                                                         ,00715: ÁLCOOL ETÍLICO LIMPEZA DE AMBIENTES                                                                 ,Inativo,Não
14583,"AMACIANTE DE ROUPA , AMACIANTE DE ROUPA NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7930: COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO                                                                         ,02387: AMACIANTE DE ROUPA                                                                                  ,Ativo,Não
17299,"POLIDOR PARA CALCADO , POLIDOR PARA CALCADO NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7930: COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO                                                                         ,10959: POLIDOR PARA CALCADO                                                                                ,Ativo,Não
17370,"CERA MÓVEIS , CERA PARA MOVEIS NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7930: COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO                                                                         ,04783: CERA MÓVEIS                                                                                         ,Ativo,Não
17388,"CERA POLIMENTO PISO , CERA DE POLIMENTO DE PISO NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7930: COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO                                                                         ,04780: CERA POLIMENTO PISO                                                                                 ,Inativo,Não
17396,"CERA PINTURA AUTOMOTIVA , CERA DE PINTURA TIPO AUTOMOTIVA NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7930: COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO                                                                         ,04779: CERA PINTURA AUTOMOTIVA                                                                             ,Ativo,Não
17400,"POLIDOR PARA PINTURA AUTOMOTIVA , POLIDOR PARA PINTURA AUTOMOTIVA NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7930: COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO                                                                         ,10960: POLIDOR PARA PINTURA AUTOMOTIVA                                                                     ,Ativo,Não
27111,"ÁLCOOL ETÍLICO LIMPEZA DE AMBIENTES , ALCOOL COMUM NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7930: COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO                                                                         ,00715: ÁLCOOL ETÍLICO LIMPEZA DE AMBIENTES                                                                 ,Inativo,Não
27804,"SOLUÇÃO LIMPEZA MULTIUSO , PREPARADO PARA LIMPEZA NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7930: COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO                                                                         ,11200: SOLUÇÃO LIMPEZA MULTIUSO                                                                            ,Ativo,Não
27812,"PRODUTO PARA POLIMENTO , PRODUTO PARA POLIMENTO NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7930: COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO                                                                         ,11233: PRODUTO PARA POLIMENTO                                                                              ,Ativo,Não
27820,"REMOVEDOR DE CERA DE ASSOALHO , REMOVEDOR DE CERA DE ASSOALHO NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7930: COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO                                                                         ,11633: REMOVEDOR DE CERA DE ASSOALHO                                                                       ,Inativo,Não
30139,"ASPIRADOR PÓ/LÍQUIDO , ASPIRADOR PO / AGUA - DOMESTICO NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7910: ENCERADEIRAS E ASPIRADORES DE PÓ                                                                                        ,03095: ASPIRADOR PÓ/LÍQUIDO                                                                                ,Inativo,Não
30147,"ASPIRADOR PÓ / ÁGUA - INDUSTRIAL , ASPIRADOR PO / AGUA - INDUSTRIAL NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7910: ENCERADEIRAS E ASPIRADORES DE PÓ                                                                                        ,03096: ASPIRADOR PÓ / ÁGUA - INDUSTRIAL                                                                    ,Inativo,Não
30155,"PEÇA/COMPONENTE ENCERADEIRA , ENCERADEIRA TIPO DOMESTICA NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7910: ENCERADEIRAS E ASPIRADORES DE PÓ                                                                                        ,06547: PEÇA/COMPONENTE ENCERADEIRA                                                                         ,Inativo,Não
30163,"ENCERADEIRA , ENCERADEIRA TIPO INDUSTRIAL NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7910: ENCERADEIRAS E ASPIRADORES DE PÓ                                                                                        ,06548: ENCERADEIRA                                                                                         ,Ativo,Não
30171,"MAQUINA DE LIMPAR TAPETE / CARPETE , MAQUINA DE LIMPAR TAPETE / CARPETE NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,7910: ENCERADEIRAS E ASPIRADORES DE PÓ                                                                                        ,09209: MAQUINA DE LIMPAR TAPETE / CARPETE                                                                  ,Inativo,Não
30180,"ESCOVA ENCERADEIRA , ESCOVA DE ENCERADEIRA NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,"7920: VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES                                                                         ",06943: ESCOVA ENCERADEIRA                                                                                  ,Inativo,Não
30198,"DISCO DE FELTRO DE ENCERADEIRA , DISCO DE FELTRO DE ENCERADEIRA NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,"7920: VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES                                                                         ",06254: DISCO DE FELTRO DE ENCERADEIRA                                                                      ,Ativo,Não
30201,"VASSOURA , VASSOURA DOMESTICA / SANITARIA NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,"7920: VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES                                                                         ",13327: VASSOURA                                                                                            ,Inativo,Não
30210,"ENXUGADOR , ENXUGADOR NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,"7920: VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES                                                                         ",06609: ENXUGADOR                                                                                           ,Ativo,Não
30228,"RODO , RODO NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,"7920: VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES                                                                         ",11781: RODO                                                                                                ,Ativo,Não
30236,"ESPANADOR , ESPANADOR NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,"7920: VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES                                                                         ",06986: ESPANADOR                                                                                           ,Ativo,Não
30244,"PALHA AÇO , PALHA DE ACO NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,"7920: VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES                                                                         ",10319: PALHA AÇO                                                                                           ,Inativo,Não
30252,"FLANELA , FLANELA PARA LIMPEZA NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,"7920: VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES                                                                         ",07630: FLANELA                                                                                             ,Ativo,Não
30260,"TRAPO DE TECIDO , TRAPO DE TECIDO NOME",79: EQUIPAMENTOS E MATERIAIS PARA LIMPEZA                                                                                   ,"7920: VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES                                                                         ",12928: TRAPO DE TECIDO                                                                                     ,Ativo,Não
