Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
1562,"ANTICORROSIVO , ANTICORROSIVO NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ",8030: COMPOSTOS PRESERVATIVOS E VEDANTES                                                                                      ,02576: ANTICORROSIVO                                                                                       ,Ativo,Não
2208,"TINTA AQUARELA , TINTA AQUARELA NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ","8010: TINTAS, VERNIZES E PRODUTOS CORRELATOS                                                                                  ",12734: TINTA AQUARELA                                                                                      ,Ativo,Não
17183,"COMPOSTO PRESERVATIVO , COMPOSTO PRESERVATIVO NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ",8030: COMPOSTOS PRESERVATIVOS E VEDANTES                                                                                      ,05487: COMPOSTO PRESERVATIVO                                                                               ,Ativo,Não
17191,"COMPOSTO ANTICORROSÃO , COMPOSTO ANTICORROSAO NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ",8030: COMPOSTOS PRESERVATIVOS E VEDANTES                                                                                      ,05477: COMPOSTO ANTICORROSÃO                                                                               ,Ativo,Não
23035,"EMULSÃO ADESIVA , EMULSAO ADESIVA NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ",8040: ADESIVOS                                                                                                                ,06536: EMULSÃO ADESIVA                                                                                     ,Inativo,Não
27065,"SOLVENTE DE TINTA A BASE DE MALTA , SOLVENTE DE TINTA A BASE DE MALTA NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ","8010: TINTAS, VERNIZES E PRODUTOS CORRELATOS                                                                                  ",12257: SOLVENTE DE TINTA A BASE DE MALTA                                                                   ,Inativo,Não
27774,"SOLVENTE , SOLVENTE PARA LIMPEZA A SECO NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ","8010: TINTAS, VERNIZES E PRODUTOS CORRELATOS                                                                                  ",01299: SOLVENTE                                                                                            ,Inativo,Não
30376,"ESCOVA PINTURA , ESCOVA PARA PINTURA NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ",8020: PINCEL PARA ARTISTAS E PINTORES                                                                                         ,01568: ESCOVA PINTURA                                                                                      ,Inativo,Não
30422,"TINTA DE PINTURA DE CALCADO , TINTA DE PINTURA DE CALCADO NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ","8010: TINTAS, VERNIZES E PRODUTOS CORRELATOS                                                                                  ",12743: TINTA DE PINTURA DE CALCADO                                                                         ,Ativo,Não
30546,"TINTA BASE ÁGUA , TINTA A BASE DE AGUA NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ","8010: TINTAS, VERNIZES E PRODUTOS CORRELATOS                                                                                  ",12733: TINTA BASE ÁGUA                                                                                     ,Ativo,Não
30554,"TINTA ÓLEO , TINTA A BASE DE OLEO NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ","8010: TINTAS, VERNIZES E PRODUTOS CORRELATOS                                                                                  ",01597: TINTA ÓLEO                                                                                          ,Ativo,Não
30562,"TINTA LACA , TINTA A BASE DE LACA NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ","8010: TINTAS, VERNIZES E PRODUTOS CORRELATOS                                                                                  ",01595: TINTA LACA                                                                                          ,Inativo,Não
30570,"PIGMENTO DE COLORIR TINTA , PIGMENTO DE COLORIR TINTA NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ","8010: TINTAS, VERNIZES E PRODUTOS CORRELATOS                                                                                  ",10706: PIGMENTO DE COLORIR TINTA                                                                           ,Ativo,Não
30589,"PIGMENTO DE VERMICULITE EXPANDIDA , PIGMENTO DE VERMICULITE EXPANDIDA NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ","8010: TINTAS, VERNIZES E PRODUTOS CORRELATOS                                                                                  ",10707: PIGMENTO DE VERMICULITE EXPANDIDA                                                                   ,Ativo,Não
30597,"OLEO DE OITICICA , OLEO DE OITICICA NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ","8010: TINTAS, VERNIZES E PRODUTOS CORRELATOS                                                                                  ",10184: OLEO DE OITICICA                                                                                    ,Ativo,Não
30600,"OLEO DE TUNGUE , OLEO DE TUNGUE NOME","80: PINCÉIS, TINTAS, VEDANTES E ADESIVOS                                                                                    ","8010: TINTAS, VERNIZES E PRODUTOS CORRELATOS                                                                                  ",10191: OLEO DE TUNGUE                                                                                      ,Ativo,Não
