Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
2585,"ARMAÇÃO TOLDO , ARMACAO DE TOLDO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8340: BARRACAS E ENCERADOS                                                                                                    ,01202: ARMAÇÃO TOLDO                                                                                       ,Inativo,Não
15172,"TECIDO ENCADERNAÇÃO , TECIDO DE PLASTICO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8305: TECIDOS                                                                                                                 ,12572: TECIDO ENCADERNAÇÃO                                                                                 ,Ativo,Não
15490,"CAMURÇA , COURO CURTIDO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8330: COUROS                                                                                                                  ,05946: CAMURÇA                                                                                             ,Ativo,Não
15954,"FLAMULA COMEMORATIVA , FLAMULA COMEMORATIVA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",07627: FLAMULA COMEMORATIVA                                                                                ,Ativo,Não
15970,"FAIXA PROPAGANDA , FLAMULA / FAIXA - PROPAGANDA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",07626: FAIXA PROPAGANDA                                                                                    ,Inativo,Não
16101,"BANDEIRA , BANDEIRA - NACIONAL / ESTADUAL NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",01581: BANDEIRA                                                                                            ,Inativo,Não
16128,"BANDEIRA INSTITUCIONAL , BANDEIRA DISTINTIVA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",03294: BANDEIRA INSTITUCIONAL                                                                              ,Ativo,Não
16160,"GALHARDETE DE CODIGO INTERNACIONAL DE SINAL , GALHARDETE DE CODIGO INTERNACIONAL DE SI NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",07904: GALHARDETE DE CODIGO INTERNACIONAL DE SINAL                                                         ,Ativo,Não
19259,"TECIDO DE FIBRA NATURAL , TECIDO DE FIBRA NATURAL NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8305: TECIDOS                                                                                                                 ,12567: TECIDO DE FIBRA NATURAL                                                                             ,Inativo,Não
19267,"TNT , TECIDO DE FIBRA SINTETICA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8305: TECIDOS                                                                                                                 ,12568: TNT                                                                                                 ,Ativo,Não
19275,"TECIDO DE MALHA , TECIDO DE MALHA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8305: TECIDOS                                                                                                                 ,12569: TECIDO DE MALHA                                                                                     ,Inativo,Não
19283,"RENDA , RENDA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8305: TECIDOS                                                                                                                 ,01484: RENDA                                                                                               ,Inativo,Não
19291,"FELTRO , FELTRO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8305: TECIDOS                                                                                                                 ,01483: FELTRO                                                                                              ,Ativo,Não
19305,"OLEADO , OLEADO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8305: TECIDOS                                                                                                                 ,10162: OLEADO                                                                                              ,Ativo,Não
19313,"LONA , LONA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8305: TECIDOS                                                                                                                 ,08914: LONA                                                                                                ,Ativo,Não
19330,"LINHA DE COSER , LINHA DE COSER NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8310: FIOS E LINHAS                                                                                                           ,08865: LINHA DE COSER                                                                                      ,Inativo,Não
19348,"LINHA BORDADO , LINHA PARA BORDAR NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8310: FIOS E LINHAS                                                                                                           ,01512: LINHA BORDADO                                                                                       ,Ativo,Não
19356,"LINHA TRICÔ , LINHA PARA TRICO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8310: FIOS E LINHAS                                                                                                           ,01515: LINHA TRICÔ                                                                                         ,Inativo,Não
19364,"LINHA CROCHÊ , LINHA PARA CROCHE NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8310: FIOS E LINHAS                                                                                                           ,01527: LINHA CROCHÊ                                                                                        ,Inativo,Não
19372,"LINHA PARA TAPECARIA , LINHA PARA TAPECARIA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8310: FIOS E LINHAS                                                                                                           ,08867: LINHA PARA TAPECARIA                                                                                ,Inativo,Não
19380,"BOTAO DE VESTUARIO , BOTAO DE VESTUARIO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,03832: BOTAO DE VESTUARIO                                                                                  ,Inativo,Não
19399,"BOTAO DE ESTOFAMENTO , BOTAO DE ESTOFAMENTO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,03830: BOTAO DE ESTOFAMENTO                                                                                ,Inativo,Não
19402,"AGULHA COSTURA , AGULHA DE COSER NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,01536: AGULHA COSTURA                                                                                      ,Ativo,Não
19410,"AGULHA DE BORDAR , AGULHA DE BORDAR NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,02181: AGULHA DE BORDAR                                                                                    ,Ativo,Não
19429,"AGULHA DE ESTOFAR , AGULHA DE ESTOFAR NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,02184: AGULHA DE ESTOFAR                                                                                   ,Inativo,Não
19437,"FIVELA , FIVELA DE VESTUARIO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,01577: FIVELA                                                                                              ,Inativo,Não
19445,"COLCHETE PARA VESTUARIO , COLCHETE PARA VESTUARIO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,05339: COLCHETE PARA VESTUARIO                                                                             ,Inativo,Não
19453,"BOTÃO VESTUÁRIO , CADARCO DE USO EM COSTURA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,01576: BOTÃO VESTUÁRIO                                                                                     ,Inativo,Não
19461,"DEDAL , DEDAL NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,06046: DEDAL                                                                                               ,Ativo,Não
19470,"ZÍPER , FECHO ECLER NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,01537: ZÍPER                                                                                               ,Ativo,Não
19488,"ALGODAO EM PASTA PARA FORRO , ALGODAO EM PASTA PARA FORRO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8320: MATERIAIS PARA ESTOFAMENTO E ACOLCHOAMENTO                                                                              ,02296: ALGODAO EM PASTA PARA FORRO                                                                         ,Ativo,Não
19496,"ENTREFORRO , ENTREFORRO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8320: MATERIAIS PARA ESTOFAMENTO E ACOLCHOAMENTO                                                                              ,06586: ENTREFORRO                                                                                          ,Ativo,Não
19518,"PAINA , PAINA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8320: MATERIAIS PARA ESTOFAMENTO E ACOLCHOAMENTO                                                                              ,10284: PAINA                                                                                               ,Ativo,Não
19526,"ESPUMA - FLOCOS , ESPUMA - FLOCOS NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8320: MATERIAIS PARA ESTOFAMENTO E ACOLCHOAMENTO                                                                              ,07050: ESPUMA - FLOCOS                                                                                     ,Inativo,Não
19534,"COURO PARA VESTUARIO , COURO PARA VESTUARIO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8330: COUROS                                                                                                                  ,05949: COURO PARA VESTUARIO                                                                                ,Inativo,Não
19542,"COURO PARA CALCADO , COURO PARA CALCADO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8330: COUROS                                                                                                                  ,05947: COURO PARA CALCADO                                                                                  ,Ativo,Não
19550,"COURO ESTOFAMENTO , COURO PARA ESTOFAMENTO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8330: COUROS                                                                                                                  ,05948: COURO ESTOFAMENTO                                                                                   ,Ativo,Não
19569,"CORDAO PARA CALCADO , CORDAO PARA CALCADO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8335: MATERIAIS PARA CALÇADOS                                                                                                 ,05866: CORDAO PARA CALCADO                                                                                 ,Inativo,Não
19577,"SOLADO PRÉ-FABRICADO , SOLADO PRE - FABRICADO DE CALCADO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8335: MATERIAIS PARA CALÇADOS                                                                                                 ,01489: SOLADO PRÉ-FABRICADO                                                                                ,Inativo,Não
19585,"SALTO PRE - FABRICADO DE CALCADO , SALTO PRE - FABRICADO DE CALCADO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8335: MATERIAIS PARA CALÇADOS                                                                                                 ,11930: SALTO PRE - FABRICADO DE CALCADO                                                                    ,Ativo,Não
19593,"BIQUEIRA DE CALCADO , BIQUEIRA DE CALCADO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8335: MATERIAIS PARA CALÇADOS                                                                                                 ,03568: BIQUEIRA DE CALCADO                                                                                 ,Ativo,Não
19607,"BARRACA COMPLETA , BARRACA COMPLETA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8340: BARRACAS E ENCERADOS                                                                                                    ,03390: BARRACA COMPLETA                                                                                    ,Ativo,Não
19615,"ESTACA BARRACA ACAMPAMENTO , ESTACA DE BARRACA DE ACAMPAMENTO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8340: BARRACAS E ENCERADOS                                                                                                    ,01543: ESTACA BARRACA ACAMPAMENTO                                                                          ,Inativo,Não
19623,"PAU DE BARRACA , PAU DE BARRACA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8340: BARRACAS E ENCERADOS                                                                                                    ,10512: PAU DE BARRACA                                                                                      ,Ativo,Não
19631,"ARMAÇÃO TOLDO , COBERTURA DE LONA PARA BARRACA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8340: BARRACAS E ENCERADOS                                                                                                    ,01202: ARMAÇÃO TOLDO                                                                                       ,Inativo,Não
19640,"GUARDA-SOL , BARRACA DE PRAIA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8340: BARRACAS E ENCERADOS                                                                                                    ,01544: GUARDA-SOL                                                                                          ,Ativo,Não
19658,"UMBELA DE TOPOGRAFO , UMBELA DE TOPOGRAFO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8340: BARRACAS E ENCERADOS                                                                                                    ,13143: UMBELA DE TOPOGRAFO                                                                                 ,Ativo,Não
19666,"ENCERADO COBERTURA , ENCERADO DE COBERTURA DE CARGA DE VEICUL NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8340: BARRACAS E ENCERADOS                                                                                                    ,01534: ENCERADO COBERTURA                                                                                  ,Inativo,Não
19674,"TALABARTE DE BANDEIRA , TALABARTE DE BANDEIRA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",12485: TALABARTE DE BANDEIRA                                                                               ,Ativo,Não
19682,"MASTRO BANDEIRA , MASTRO DE BANDEIRA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",01490: MASTRO BANDEIRA                                                                                     ,Ativo,Não
19690,"BANDEIROLA , BANDEIROLA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",03296: BANDEIROLA                                                                                          ,Ativo,Não
19704,"FLAMULA DISTINTIVA , FLAMULA DISTINTIVA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",07629: FLAMULA DISTINTIVA                                                                                  ,Ativo,Não
19712,"BANDEIRA SEMAFÓRICA , BANDEIRA SEMAFORICA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",03295: BANDEIRA SEMAFÓRICA                                                                                 ,Ativo,Não
19720,"BANDEIRA SINALIZAÇÃO , BANDEIRA DE SINALIZACAO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",03290: BANDEIRA SINALIZAÇÃO                                                                                ,Ativo,Não
22730,"ELÁSTICO VESTUÁRIO , ELASTICO DE VESTUARIO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,01525: ELÁSTICO VESTUÁRIO                                                                                  ,Inativo,Não
23060,"FITA , FITA DE TECIDO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,01526: FITA                                                                                                ,Inativo,Não
23663,"ALFINETE DE SEGURANCA , ALFINETE DE SEGURANCA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,02280: ALFINETE DE SEGURANCA                                                                               ,Inativo,Não
25224,"VIDRILHO , VIDRILHO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,01579: VIDRILHO                                                                                            ,Inativo,Não
27120,"MANTA DE LÃ , MANTA DE LA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8305: TECIDOS                                                                                                                 ,09120: MANTA DE LÃ                                                                                         ,Ativo,Não
27707,"ALFINETE COSTURA , ALFINETE DE COSTURA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,01538: ALFINETE COSTURA                                                                                    ,Inativo,Não
31364,"FRISA ( TECIDO ) , FRISA ( TECIDO ) NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8305: TECIDOS                                                                                                                 ,07845: FRISA ( TECIDO )                                                                                    ,Ativo,Não
32239,"BARRACA DE LONA , BARRACA DE LONA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8340: BARRACAS E ENCERADOS                                                                                                    ,03394: BARRACA DE LONA                                                                                     ,Inativo,Não
40037,"ILHOS DE USO EM TECIDO , ILHOS DE USO EM TECIDO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,08282: ILHOS DE USO EM TECIDO                                                                              ,Ativo,Não
46426,"ESTANDARTE , ESTANDARTE NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",07089: ESTANDARTE                                                                                          ,Inativo,Não
47783,"AVIAMENTO PARA COSTURA , AVIAMENTO PARA COSTURA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,03160: AVIAMENTO PARA COSTURA                                                                              ,Ativo,Não
47970,"MATERIAL DE COUDELARIA , MATERIAL DE COUDELARIA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8330: COUROS                                                                                                                  ,09448: MATERIAL DE COUDELARIA                                                                              ,Ativo,Não
55336,"FELTRO , FELTRO ( TECIDO ) NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8305: TECIDOS                                                                                                                 ,01483: FELTRO                                                                                              ,Inativo,Não
55352,"TELA DE PINTURA , TELA DE TECIDO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8305: TECIDOS                                                                                                                 ,12592: TELA DE PINTURA                                                                                     ,Inativo,Não
55360,"RETALHO TECIDO , RETALHO DE TECIDO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8305: TECIDOS                                                                                                                 ,01599: RETALHO TECIDO                                                                                      ,Inativo,Não
55379,"OMBREIRA , OMBREIRA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,01578: OMBREIRA                                                                                            ,Inativo,Não
55387,"BORDADO PARA COSTURA , BORDADO PARA COSTURA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,03805: BORDADO PARA COSTURA                                                                                ,Ativo,Não
55417,"PENUGEM BENEFICIADA , PENUGEM BENEFICIADA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8320: MATERIAIS PARA ESTOFAMENTO E ACOLCHOAMENTO                                                                              ,10634: PENUGEM BENEFICIADA                                                                                 ,Ativo,Não
55425,"MUSGO DE ESTOFAMENTO BENEFICIADO , MUSGO DE ESTOFAMENTO BENEFICIADO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8320: MATERIAIS PARA ESTOFAMENTO E ACOLCHOAMENTO                                                                              ,10028: MUSGO DE ESTOFAMENTO BENEFICIADO                                                                    ,Ativo,Não
55433,"TRANCADO DE PELE , TRANCADO DE PELE NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8325: PELES                                                                                                                   ,12864: TRANCADO DE PELE                                                                                    ,Ativo,Não
55441,"SACO DE PELE , SACO DE PELE NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8325: PELES                                                                                                                   ,11899: SACO DE PELE                                                                                        ,Ativo,Não
55468,"COXIM DE PELE , COXIM DE PELE NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8325: PELES                                                                                                                   ,05952: COXIM DE PELE                                                                                       ,Ativo,Não
55476,"LUVA DE COURO , LUVA DE COURO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8330: COUROS                                                                                                                  ,08961: LUVA DE COURO                                                                                       ,Ativo,Não
55484,"COURO ACHARCADO ( ENVERNIZADO ) , COURO ACHARCADO ( ENVERNIZADO ) NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8330: COUROS                                                                                                                  ,05944: COURO ACHARCADO ( ENVERNIZADO )                                                                     ,Ativo,Não
55492,"BANCADA DE REPARO EM CALCADO , BANCADA DE REPARO EM CALCADO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8335: MATERIAIS PARA CALÇADOS                                                                                                 ,03272: BANCADA DE REPARO EM CALCADO                                                                        ,Ativo,Não
55506,"FORMA CALÇADO , FORMA DE CALCADO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8335: MATERIAIS PARA CALÇADOS                                                                                                 ,07726: FORMA CALÇADO                                                                                       ,Inativo,Não
55514,"MOLDE CALÇADO , MOLDE DE CALCADO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8335: MATERIAIS PARA CALÇADOS                                                                                                 ,01488: MOLDE CALÇADO                                                                                       ,Inativo,Não
55522,"FIVELA DE CALCADO , FIVELA DE CALCADO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8335: MATERIAIS PARA CALÇADOS                                                                                                 ,07615: FIVELA DE CALCADO                                                                                   ,Ativo,Não
55530,"LACO PARA CALCADO , LACO PARA CALCADO NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8335: MATERIAIS PARA CALÇADOS                                                                                                 ,08594: LACO PARA CALCADO                                                                                   ,Ativo,Não
55549,"PAU DE BANDEIRA , PAU DE BANDEIRA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",10511: PAU DE BANDEIRA                                                                                     ,Inativo,Não
55557,"SUPORTE DE MASTRO DE BANDEIRA , SUPORTE DE MASTRO DE BANDEIRA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",12391: SUPORTE DE MASTRO DE BANDEIRA                                                                       ,Ativo,Não
55565,"POLIA DE BANDEIRA , POLIA DE BANDEIRA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ","8345: BANDEIRAS, FLAMULAS E PAVILHOES                                                                                         ",10952: POLIA DE BANDEIRA                                                                                   ,Ativo,Não
56847,"PELE DE ANIMAL NAO BENEFICIADA , PELE DE ANIMAL NAO BENEFICIADA NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8330: COUROS                                                                                                                  ,10596: PELE DE ANIMAL NAO BENEFICIADA                                                                      ,Ativo,Não
56855,"COURO CRU , COURO CRU NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8330: COUROS                                                                                                                  ,05945: COURO CRU                                                                                           ,Ativo,Não
59013,"ALMOFADA DE OMBRO ( OMBREIRA ) , ALMOFADA DE OMBRO ( OMBREIRA ) NOME","83: TECIDOS, COUROS, PELES, AVIAMENTOS, BARRACAS E BANDEIRAS                                                                ",8315: MIUDEZAS E AVIAMENTOS PARA COSTURA                                                                                      ,02349: ALMOFADA DE OMBRO ( OMBREIRA )                                                                      ,Inativo,Não
