Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
19,"JAPONA , JAPONA MASCULINA NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8405: VESTUÁRIO EXTERNO MASCULINO                                                                                             ,08524: JAPONA                                                                                              ,Ativo,Não
27,"CHAPÉU MASCULINO , CHAPEU MASCULINO NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8405: VESTUÁRIO EXTERNO MASCULINO                                                                                             ,04855: CHAPÉU MASCULINO                                                                                    ,Ativo,Não
353,"BORNAL , BORNAL NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8465: EQUIPAMENTOS INDIVIDUAIS                                                                                                ,03806: BORNAL                                                                                              ,Ativo,Não
3824,"BERMUDA , VESTUARIO PARA ATLETISMO NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8415: VESTUÁRIO PARA FINS ESPECIAIS                                                                                           ,13647: BERMUDA                                                                                             ,Inativo,Não
3832,"GUARDA-PÓ , GUARDA - PO NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8415: VESTUÁRIO PARA FINS ESPECIAIS                                                                                           ,08118: GUARDA-PÓ                                                                                           ,Ativo,Não
3840,"AVENTAL , AVENTAL PARA USO DOMESTICO NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8415: VESTUÁRIO PARA FINS ESPECIAIS                                                                                           ,01203: AVENTAL                                                                                             ,Inativo,Não
3891,"MACACÃO , MACACAO NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8415: VESTUÁRIO PARA FINS ESPECIAIS                                                                                           ,01364: MACACÃO                                                                                             ,Ativo,Não
3905,"CAPA CHUVA , CAPA DE CHUVA NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8415: VESTUÁRIO PARA FINS ESPECIAIS                                                                                           ,01413: CAPA CHUVA                                                                                          ,Ativo,Não
3913,"LUVA PROTEÇÃO , LUVA INDUSTRIAL NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8415: VESTUÁRIO PARA FINS ESPECIAIS                                                                                           ,08974: LUVA PROTEÇÃO                                                                                       ,Inativo,Não
3921,"PIJAMA , PIJAMA MASCULINO NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ","8420: ROUPAS ÍNTIMAS E PARA DORMIR, MASCULINAS                                                                                ",01406: PIJAMA                                                                                              ,Inativo,Não
3930,"CUECA , CUECA NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ","8420: ROUPAS ÍNTIMAS E PARA DORMIR, MASCULINAS                                                                                ",01402: CUECA                                                                                               ,Inativo,Não
3948,"CAMISETA , CAMISETA NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8415: VESTUÁRIO PARA FINS ESPECIAIS                                                                                           ,04380: CAMISETA                                                                                            ,Ativo,Não
3956,"ROUPAO MASCULINO , ROUPAO MASCULINO NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ","8420: ROUPAS ÍNTIMAS E PARA DORMIR, MASCULINAS                                                                                ",11853: ROUPAO MASCULINO                                                                                    ,Inativo,Não
3964,"LUVA TIPO SOCIAL , LUVA TIPO SOCIAL NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ","8440: MEIAS, LUVAS E OUTROS COMPLEMENTOS DO VESTUARIO MASCULINO                                                               ",13584: LUVA TIPO SOCIAL                                                                                    ,Ativo,Não
3972,"MEIA VESTUÁRIO MASCULINO , MEIA DE VESTUARIO MASCULINO NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ","8440: MEIAS, LUVAS E OUTROS COMPLEMENTOS DO VESTUARIO MASCULINO                                                               ",09581: MEIA VESTUÁRIO MASCULINO                                                                            ,Ativo,Não
3980,"CALCADO TIPO SEGURANCA , CALCADO TIPO SEGURANCA NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8430: CALÇADOS MASCULINOS                                                                                                     ,04198: CALCADO TIPO SEGURANCA                                                                              ,Inativo,Não
3999,"CADEIRA ALIMENTAÇÃO , CALCADO TIPO SOCIAL NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8465: EQUIPAMENTOS INDIVIDUAIS                                                                                                ,04199: CADEIRA ALIMENTAÇÃO                                                                                 ,Inativo,Não
4006,"CALÇADO ATLETISMO , CALCADO DE ATLETISMO NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8430: CALÇADOS MASCULINOS                                                                                                     ,04195: CALÇADO ATLETISMO                                                                                   ,Ativo,Não
4022,"SAPATO MASCULINO , SAPATO MASCULINO NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8430: CALÇADOS MASCULINOS                                                                                                     ,11943: SAPATO MASCULINO                                                                                    ,Ativo,Não
4030,"GALOCHA , GALOCHA NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8430: CALÇADOS MASCULINOS                                                                                                     ,01455: GALOCHA                                                                                             ,Ativo,Não
4049,"LENCO DE TECIDO , LENCO DE TECIDO NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ","8440: MEIAS, LUVAS E OUTROS COMPLEMENTOS DO VESTUARIO MASCULINO                                                               ",08769: LENCO DE TECIDO                                                                                     ,Ativo,Não
4057,"CINTO VESTUÁRIO , CINTO DE VESTUARIO MASCULINO / FEMININO NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ","8440: MEIAS, LUVAS E OUTROS COMPLEMENTOS DO VESTUARIO MASCULINO                                                               ",05025: CINTO VESTUÁRIO                                                                                     ,Ativo,Não
