Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
51,"GELEIA , GELEIA NOME",89: SUBSISTÊNCIA                                                                                                            ,"8925: AÇÚCAR, CONFEITOS, CASTANHAS, NOZES E SIMILARES                                                                         ",07959: GELEIA                                                                                              ,Ativo,Não
60,"CIGARRO , CIGARRO NOME",89: SUBSISTÊNCIA                                                                                                            ,8975: PRODUTOS DE TABACO                                                                                                      ,00957: CIGARRO                                                                                             ,Inativo,Não
175,"EXTRATO ALIMENTÍCIO , EXTRATO ALIMENTICIO NOME",89: SUBSISTÊNCIA                                                                                                            ,8950: CONDIMENTOS E PRODUTOS CORRELATOS                                                                                       ,07261: EXTRATO ALIMENTÍCIO                                                                                 ,Ativo,Não
1473,"PÃO , PAO NOME",89: SUBSISTÊNCIA                                                                                                            ,8920: PRODUTOS DE PANIFICAÇÃO E CEREAIS                                                                                       ,10351: PÃO                                                                                                 ,Inativo,Não
3379,"CHARUTO , CHARUTO NOME",89: SUBSISTÊNCIA                                                                                                            ,8975: PRODUTOS DE TABACO                                                                                                      ,04858: CHARUTO                                                                                             ,Ativo,Não
5118,"SUPLEMENTO NUTRICIONAL , FEIJOADA NOME",89: SUBSISTÊNCIA                                                                                                            ,8940: ALIMENTOS ESPECIAIS DIETÉTICOS E PREPARADOS ALIMENTÍCIOS                                                                ,00929: SUPLEMENTO NUTRICIONAL                                                                              ,Inativo,Não
5363,"CARNE , CARNE NOME",89: SUBSISTÊNCIA                                                                                                            ,"8905: CARNES, AVES E PEIXES                                                                                                   ",04548: CARNE                                                                                               ,Inativo,Não
5371,"MIUDO FRESCO , MIUDO FRESCO NOME",89: SUBSISTÊNCIA                                                                                                            ,"8905: CARNES, AVES E PEIXES                                                                                                   ",09807: MIUDO FRESCO                                                                                        ,Inativo,Não
5380,"MIÚDOS , MIUDO SALGADO NOME",89: SUBSISTÊNCIA                                                                                                            ,"8905: CARNES, AVES E PEIXES                                                                                                   ",09808: MIÚDOS                                                                                              ,Inativo,Não
5398,"MIUDO DEFUMADO , MIUDO DEFUMADO NOME",89: SUBSISTÊNCIA                                                                                                            ,"8905: CARNES, AVES E PEIXES                                                                                                   ",09806: MIUDO DEFUMADO                                                                                      ,Inativo,Não
5401,"MIUDO CONSERVA , MIUDO CONSERVA NOME",89: SUBSISTÊNCIA                                                                                                            ,"8930: GELEIAS, CONSERVAS E GELATINAS                                                                                          ",09805: MIUDO CONSERVA                                                                                      ,Inativo,Não
5410,"PASTA ALIMENTICIA , PASTA ALIMENTICIA NOME",89: SUBSISTÊNCIA                                                                                                            ,8940: ALIMENTOS ESPECIAIS DIETÉTICOS E PREPARADOS ALIMENTÍCIOS                                                                ,10481: PASTA ALIMENTICIA                                                                                   ,Ativo,Não
5428,"SALSICHA , SALSICHA / SALSICHAO NOME",89: SUBSISTÊNCIA                                                                                                            ,"8905: CARNES, AVES E PEIXES                                                                                                   ",00830: SALSICHA                                                                                            ,Inativo,Não
5444,"PRESUNTO , PRESUNTO NOME",89: SUBSISTÊNCIA                                                                                                            ,"8905: CARNES, AVES E PEIXES                                                                                                   ",00829: PRESUNTO                                                                                            ,Inativo,Não
5452,"SALAME , SALAME NOME",89: SUBSISTÊNCIA                                                                                                            ,"8905: CARNES, AVES E PEIXES                                                                                                   ",00860: SALAME                                                                                              ,Inativo,Não
5479,"PEIXE IN NATURA , PEIXE IN - NATURA NOME",89: SUBSISTÊNCIA                                                                                                            ,"8905: CARNES, AVES E PEIXES                                                                                                   ",00905: PEIXE IN NATURA                                                                                     ,Inativo,Não
5495,"PEIXE CONSERVA , PEIXE EM CONSERVA NOME",89: SUBSISTÊNCIA                                                                                                            ,"8905: CARNES, AVES E PEIXES                                                                                                   ",00859: PEIXE CONSERVA                                                                                      ,Ativo,Não
5517,"CRUSTÁCEO IN NATURA , CRUSTACEO FRESCO NOME",89: SUBSISTÊNCIA                                                                                                            ,"8905: CARNES, AVES E PEIXES                                                                                                   ",00904: CRUSTÁCEO IN NATURA                                                                                 ,Ativo,Não
5533,"CRUSTACEO EM CONSERVA , CRUSTACEO EM CONSERVA NOME",89: SUBSISTÊNCIA                                                                                                            ,"8930: GELEIAS, CONSERVAS E GELATINAS                                                                                          ",05986: CRUSTACEO EM CONSERVA                                                                               ,Ativo,Não
5550,"OVO , OVO FRESCO NOME",89: SUBSISTÊNCIA                                                                                                            ,8910: OVOS E LATICÍNIOS                                                                                                       ,00844: OVO                                                                                                 ,Inativo,Não
5584,"OVO EM PÓ , OVO EM PO NOME",89: SUBSISTÊNCIA                                                                                                            ,8910: OVOS E LATICÍNIOS                                                                                                       ,00845: OVO EM PÓ                                                                                           ,Inativo,Não
5606,"LEITE BOVINO PASTEURIZADO , LEITE - NATURAL / PASTEURIZADO NOME",89: SUBSISTÊNCIA                                                                                                            ,8910: OVOS E LATICÍNIOS                                                                                                       ,00840: LEITE BOVINO PASTEURIZADO                                                                           ,Inativo,Não
5622,"LEITE EM PÓ , LEITE INTEGRAL - PO / LIQUIDO NOME",89: SUBSISTÊNCIA                                                                                                            ,8910: OVOS E LATICÍNIOS                                                                                                       ,00838: LEITE EM PÓ                                                                                         ,Inativo,Não
5649,"LEITE EM PÓ , LEITE EM PO DESNATADO NOME",89: SUBSISTÊNCIA                                                                                                            ,8910: OVOS E LATICÍNIOS                                                                                                       ,00838: LEITE EM PÓ                                                                                         ,Inativo,Não
5665,"LEITE EM PÓ , LEITE EM PO SEMIDESNATADO NOME",89: SUBSISTÊNCIA                                                                                                            ,8910: OVOS E LATICÍNIOS                                                                                                       ,00838: LEITE EM PÓ                                                                                         ,Inativo,Não
