Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
2895,"ALCATRAO VEGETAL , ALCATRAO VEGETAL NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ",9110: COMBUSTÍVEIS SÓLIDOS                                                                                                    ,02248: ALCATRAO VEGETAL                                                                                    ,Ativo,Não
16888,"CARVÃO VEGETAL , CARVAO VEGETAL NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ",9110: COMBUSTÍVEIS SÓLIDOS                                                                                                    ,04676: CARVÃO VEGETAL                                                                                      ,Ativo,Não
16896,"CARVÃO MINERAL , CARVAO MINERAL NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ",9110: COMBUSTÍVEIS SÓLIDOS                                                                                                    ,04675: CARVÃO MINERAL                                                                                      ,Ativo,Não
16918,"CARVÃO COQUE , CARVAO DE COQUE NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ",9110: COMBUSTÍVEIS SÓLIDOS                                                                                                    ,04673: CARVÃO COQUE                                                                                        ,Ativo,Não
16942,"LENHA , LENHA CORTADA NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ",9110: COMBUSTÍVEIS SÓLIDOS                                                                                                    ,08775: LENHA                                                                                               ,Ativo,Não
16950,"GASOLINA COMUM , GASOLINA - COMBUSTIVEL VEICULO NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ",9130: COMBUSTÍVEIS E PROPELENTES LÍQUIDOS À BASE DE PETRÓLEO                                                                  ,00680: GASOLINA COMUM                                                                                      ,Ativo,Não
16969,"GASOLINA AVIAÇÃO , GASOLINA - COMBUSTIVEL PARA AERONAVE NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ",9130: COMBUSTÍVEIS E PROPELENTES LÍQUIDOS À BASE DE PETRÓLEO                                                                  ,00645: GASOLINA AVIAÇÃO                                                                                    ,Ativo,Não
16977,"QUEROSENE , QUEROSENE NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ",9140: ÓLEOS COMBUSTÍVEIS                                                                                                      ,00701: QUEROSENE                                                                                           ,Ativo,Não
16993,"ÓLEO DIESEL , OLEO DIESEL NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ",9140: ÓLEOS COMBUSTÍVEIS                                                                                                      ,00646: ÓLEO DIESEL                                                                                         ,Ativo,Não
17019,"OLEO BUNKER , OLEO BUNKER NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ",9130: COMBUSTÍVEIS E PROPELENTES LÍQUIDOS À BASE DE PETRÓLEO                                                                  ,10171: OLEO BUNKER                                                                                         ,Ativo,Não
17027,"OLEO DE ILUMINACAO , OLEO DE ILUMINACAO NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ",9130: COMBUSTÍVEIS E PROPELENTES LÍQUIDOS À BASE DE PETRÓLEO                                                                  ,10182: OLEO DE ILUMINACAO                                                                                  ,Ativo,Não
17035,"OLEO - COMBUSTIVEL VEICULO , OLEO - COMBUSTIVEL VEICULO NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ",9140: ÓLEOS COMBUSTÍVEIS                                                                                                      ,10169: OLEO - COMBUSTIVEL VEICULO                                                                          ,Inativo,Não
17051,"OLEO GRAFITADO , OLEO GRAFITADO NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ","9150: ÓLEOS E GRAXAS PARA CORTE, LUBRIFICAÇÃO E SISTEMAS  HIDRÁULICOS                                                         ",10195: OLEO GRAFITADO                                                                                      ,Ativo,Não
17060,"GRAXA , GRAXA GRAFITADA NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ","9150: ÓLEOS E GRAXAS PARA CORTE, LUBRIFICAÇÃO E SISTEMAS  HIDRÁULICOS                                                         ",00609: GRAXA                                                                                               ,Ativo,Não
17094,"OLEO DE PARAFINA , OLEO DE PARAFINA NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ","9150: ÓLEOS E GRAXAS PARA CORTE, LUBRIFICAÇÃO E SISTEMAS  HIDRÁULICOS                                                         ",10186: OLEO DE PARAFINA                                                                                    ,Ativo,Não
17205,"CERA , CERA DE ORIGEM VEGETAL NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ","9160: CERAS, ÓLEOS E GORDURAS DIVERSOS                                                                                        ",00681: CERA                                                                                                ,Ativo,Não
17213,"CERA DE ORIGEM ANIMAL , CERA DE ORIGEM ANIMAL NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ","9160: CERAS, ÓLEOS E GORDURAS DIVERSOS                                                                                        ",04778: CERA DE ORIGEM ANIMAL                                                                               ,Inativo,Não
17221,"CERA , CERA DE ORIGEM MINERAL NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ","9160: CERAS, ÓLEOS E GORDURAS DIVERSOS                                                                                        ",00681: CERA                                                                                                ,Ativo,Não
17230,"ÓLEO COCO , OLEO DE COCO NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ","9160: CERAS, ÓLEOS E GORDURAS DIVERSOS                                                                                        ",10177: ÓLEO COCO                                                                                           ,Ativo,Não
17248,"OLEO DE PEIXE , OLEO DE PEIXE NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ","9160: CERAS, ÓLEOS E GORDURAS DIVERSOS                                                                                        ",10187: OLEO DE PEIXE                                                                                       ,Ativo,Não
17264,"CERA ABELHA , CERA DE ABELHA NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ","9160: CERAS, ÓLEOS E GORDURAS DIVERSOS                                                                                        ",00682: CERA ABELHA                                                                                         ,Ativo,Não
17272,"GRAXA DE LA , GRAXA DE LA NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ","9160: CERAS, ÓLEOS E GORDURAS DIVERSOS                                                                                        ",08098: GRAXA DE LA                                                                                         ,Inativo,Não
17280,"SEBO , SEBO NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ","9160: CERAS, ÓLEOS E GORDURAS DIVERSOS                                                                                        ",11954: SEBO                                                                                                ,Ativo,Não
45284,"ÓLEO ISOLANTE , OLEO ISOLANTE NAFTENICO NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ","9150: ÓLEOS E GRAXAS PARA CORTE, LUBRIFICAÇÃO E SISTEMAS  HIDRÁULICOS                                                         ",00611: ÓLEO ISOLANTE                                                                                       ,Inativo,Não
45292,"ÓLEO ISOLANTE , OLEO ISOLANTE PARAFINICO NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ","9150: ÓLEOS E GRAXAS PARA CORTE, LUBRIFICAÇÃO E SISTEMAS  HIDRÁULICOS                                                         ",00611: ÓLEO ISOLANTE                                                                                       ,Inativo,Não
45306,"ÓLEO ISOLANTE , OLEO ISOLANTE DE SILICONE NOME","91: COMBUSTÍVEIS, LUBRIFICANTES, ÓLEOS E CERAS                                                                              ","9150: ÓLEOS E GRAXAS PARA CORTE, LUBRIFICAÇÃO E SISTEMAS  HIDRÁULICOS                                                         ",00611: ÓLEO ISOLANTE                                                                                       ,Inativo,Não
