Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
930,"PAPEL PARA TIPOGRAFIA , PAPEL PARA TIPOGRAFIA NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9310: PAPÉIS E PAPELÕES                                                                                                       ,10395: PAPEL PARA TIPOGRAFIA                                                                               ,Inativo,Não
957,"PAPEL IMPRESSÃO , PAPEL PARA IMPRESSAO / OFF-SET NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9310: PAPÉIS E PAPELÕES                                                                                                       ,00023: PAPEL IMPRESSÃO                                                                                     ,Inativo,Não
965,"PAPEL , PAPEL NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9310: PAPÉIS E PAPELÕES                                                                                                       ,10353: PAPEL                                                                                               ,Ativo,Não
1015,"PAPELÃO , PAPELAO NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9310: PAPÉIS E PAPELÕES                                                                                                       ,10406: PAPELÃO                                                                                             ,Ativo,Não
1023,"CARTOLINA , CARTOLINA A GRANEL NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9310: PAPÉIS E PAPELÕES                                                                                                       ,00172: CARTOLINA                                                                                           ,Ativo,Não
1040,"MATERIAL FABRICADO COM BORRACHA NATURAL , MATERIAL FABRICADO COM BORRACHA NATURAL NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9320: ARTIGOS DE BORRACHA                                                                                                     ,09460: MATERIAL FABRICADO COM BORRACHA NATURAL                                                             ,Inativo,Não
1058,"BORRACHA GRANULADA , MATERIAL FABRICADO COM BORRACHA SINTETIC NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9320: ARTIGOS DE BORRACHA                                                                                                     ,09461: BORRACHA GRANULADA                                                                                  ,Inativo,Não
1066,"BARRA DE PLÁSTICO , BARRA DE PLASTICO NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9330: ARTIGOS DE PLÁSTICO                                                                                                     ,03384: BARRA DE PLÁSTICO                                                                                   ,Ativo,Não
1082,"BLOCO PLÁSTICO , BLOCO DE PLASTICO NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9330: ARTIGOS DE PLÁSTICO                                                                                                     ,03613: BLOCO PLÁSTICO                                                                                      ,Ativo,Não
1090,"CHAPA MATERIAL PLÁSTICO , CHAPA DE MATERIAL PLASTICO NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9330: ARTIGOS DE PLÁSTICO                                                                                                     ,04831: CHAPA MATERIAL PLÁSTICO                                                                             ,Ativo,Não
1112,"FILME PLÁSTICO , PLASTICO - TIRA / FORRO NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9330: ARTIGOS DE PLÁSTICO                                                                                                     ,10891: FILME PLÁSTICO                                                                                      ,Inativo,Não
1147,"BLOCO BORRACHA NATURAL , BLOCO DE BORRACHA NATURAL NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9320: ARTIGOS DE BORRACHA                                                                                                     ,03598: BLOCO BORRACHA NATURAL                                                                              ,Ativo,Não
1163,"BLOCO BORRACHA SINTÉTICA , BLOCO DE BORRACHA SINTETICA NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9320: ARTIGOS DE BORRACHA                                                                                                     ,03599: BLOCO BORRACHA SINTÉTICA                                                                            ,Ativo,Não
1180,"FOLHA DE BORRACHA NATURAL , FOLHA DE BORRACHA NATURAL NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9320: ARTIGOS DE BORRACHA                                                                                                     ,07692: FOLHA DE BORRACHA NATURAL                                                                           ,Ativo,Não
1198,"FOLHA DE BORRACHA SINTETICA , FOLHA DE BORRACHA SINTETICA NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9320: ARTIGOS DE BORRACHA                                                                                                     ,07693: FOLHA DE BORRACHA SINTETICA                                                                         ,Inativo,Não
1210,"TIRA DE BORRACHA , TIRA DE BORRACHA NATURAL NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9320: ARTIGOS DE BORRACHA                                                                                                     ,12772: TIRA DE BORRACHA                                                                                    ,Inativo,Não
1236,"BORRACHA SILICONADA , TIRA DE BORRACHA SINTETICA NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9320: ARTIGOS DE BORRACHA                                                                                                     ,12773: BORRACHA SILICONADA                                                                                 ,Ativo,Não
1317,"CHAPA DE BORRACHA NATURAL , CHAPA DE BORRACHA NATURAL NOME","93: MATERIAIS MANUFATURADOS, NÃO METÁLICOS                                                                                  ",9320: ARTIGOS DE BORRACHA                                                                                                     ,04825: CHAPA DE BORRACHA NATURAL                                                                           ,Inativo,Não
