Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
2151,"BARRA DE ACO COM SECAO REDONDA , BARRA DE ACO COM SECAO REDONDA NOME","95: BARRAS, CHAPAS E PERFILADOS METÁLICOS                                                                                   ",9510: BARRAS E VERGALHÕES DE FERRO E DE AÇO                                                                                   ,03353: BARRA DE ACO COM SECAO REDONDA                                                                      ,Ativo,Não
2194,"BARRA DE ACO COM SECAO QUADRADA , BARRA DE ACO COM SECAO QUADRADA NOME","95: BARRAS, CHAPAS E PERFILADOS METÁLICOS                                                                                   ",9510: BARRAS E VERGALHÕES DE FERRO E DE AÇO                                                                                   ,03352: BARRA DE ACO COM SECAO QUADRADA                                                                     ,Inativo,Não
2216,"BARRA DE ACO COM SECAO SEXTAVADA , BARRA DE ACO COM SECAO SEXTAVADA NOME","95: BARRAS, CHAPAS E PERFILADOS METÁLICOS                                                                                   ",9510: BARRAS E VERGALHÕES DE FERRO E DE AÇO                                                                                   ,03354: BARRA DE ACO COM SECAO SEXTAVADA                                                                    ,Inativo,Não
2232,"BARRA DE ACO COM SECAO OITAVADA , BARRA DE ACO COM SECAO OITAVADA NOME","95: BARRAS, CHAPAS E PERFILADOS METÁLICOS                                                                                   ",9510: BARRAS E VERGALHÕES DE FERRO E DE AÇO                                                                                   ,03351: BARRA DE ACO COM SECAO OITAVADA                                                                     ,Inativo,Não
2267,"BARRA AÇO , BARRA DE ACO COM SECAO CHATA NOME","95: BARRAS, CHAPAS E PERFILADOS METÁLICOS                                                                                   ",9510: BARRAS E VERGALHÕES DE FERRO E DE AÇO                                                                                   ,03350: BARRA AÇO                                                                                           ,Inativo,Não
2275,"CHAPA AÇO INOXIDÁVEL , CHAPA DE ACO FINA NOME","95: BARRAS, CHAPAS E PERFILADOS METÁLICOS                                                                                   ","9515: PLACAS, CHAPAS, FITAS E LAMINADOS FINOS DE FERRO E DE AÇO                                                               ",04816: CHAPA AÇO INOXIDÁVEL                                                                                ,Inativo,Não
2291,"CHAPA AÇO , CHAPA DE ACO GROSSA NOME","95: BARRAS, CHAPAS E PERFILADOS METÁLICOS                                                                                   ","9515: PLACAS, CHAPAS, FITAS E LAMINADOS FINOS DE FERRO E DE AÇO                                                               ",04817: CHAPA AÇO                                                                                           ,Inativo,Não
2305,"CHAPA PRETA DE ACO , CHAPA PRETA DE ACO NOME","95: BARRAS, CHAPAS E PERFILADOS METÁLICOS                                                                                   ","9515: PLACAS, CHAPAS, FITAS E LAMINADOS FINOS DE FERRO E DE AÇO                                                               ",04850: CHAPA PRETA DE ACO                                                                                  ,Inativo,Não
2313,"CHAPA PERFURADA , CHAPA DE ACO PERFURADA NOME","95: BARRAS, CHAPAS E PERFILADOS METÁLICOS                                                                                   ","9515: PLACAS, CHAPAS, FITAS E LAMINADOS FINOS DE FERRO E DE AÇO                                                               ",04818: CHAPA PERFURADA                                                                                     ,Ativo,Não
2321,"TIRA PERFURADA DE ACO , TIRA PERFURADA DE ACO NOME","95: BARRAS, CHAPAS E PERFILADOS METÁLICOS                                                                                   ","9515: PLACAS, CHAPAS, FITAS E LAMINADOS FINOS DE FERRO E DE AÇO                                                               ",12779: TIRA PERFURADA DE ACO                                                                               ,Ativo,Não
