"id","pdm","grupo"
00577,PNEU VEÍCULO AUTOMOTIVO,26
00591,CÂMARA AR PNEU,26
00592,PNEU TRATOR RODAS DIRECIONAIS,26
00593,PNEU TRATOR RODAS TRAÇÃO,26
01664,ACESSORIO CAMARA DE AR,26
01692,ACESSÓRIO DE PNEUMÁTICO,26
03078,ARTIGO PARA REPARO DE CAMARA DE AR,26
03079,ARTIGO PARA REPARO DE PNEU,26
03081,ARTIGO REPARO PNEU / CAMARA DE AR,26
03538,BICO PNEU SEM CÂMARA,26
04323,CAMARA DE AR DE PNEU DE TRATOR E VEICULO DE TERRAPLENAGEM,26
04324,CÂMARA AR PNEU - AERONAVE,26
05321,COLA PARA REPARO DE PNEU,26
05323,COLA RAPIDA PARA REPARO DE PNEU,26
05324,COLA REPARO CAMARA DE AR,26
06801,EQUIPAMENTO MANUTENCAO E REPARO CAMARA DE AR,26
07109,ESTEIRA COM BANDA DE RODAGEM DE BORRACHA,26
07165,ESTOJO PARA REPARO DE PNEU,26
07168,ESTOJO REPARO CAMARA DE AR,26
08917,LONA PNEU,26
10131,NUCLEO VALVULA CAMARA DE AR,26
10916,PNEU - AERONAVE,26
10917,PNEU VEÍCULO MILITAR,26
10918,PNEU DIAGONAL CONVENCIONAL COM CAMARA - VEICULO AUTOMOTIVO,26
10919,PNEU DIAGONAL CONVENCIONAL SEM CAMARA - VEICULO AUTOMOTIVO,26
10920,PNEU MOTOCICLETA / MOTONETA / CICLOMOTOR,26
10921,PNEU ONIBUS / CAMINHAO,26
10922,PNEU RECAUCHUTADO,26
10924,PNEU TRATOR RODAS TRACAO,26
11317,PROTETOR CÂMARA DE AR,26
11627,REMENDO CAMARA DE AR,26
11628,REMENDO PARA PNEU,26
11629,REMENDO RAPIDO A FRIO,26
12782,TIRA RECAUCHUTAGEM,26
13249,VALVULA CAMARA DE AR,26
13481,VULCANIZADOR REMENDO CAMARA DE AR,26
13482,VULCANIZADOR REMENDO PNEU,26
13618,PNEU VEÍCULO TERRAPLENAGEM,26
15984,PNEU BICICLETA,26
16145,PNEU CARRINHO MÃO,26
16432,PNEU EMPILHADEIRA / CARREGADEIRA,26
16806,"PNEUS E CÂMARAS DE AR, EXCETO OS DE AERONAVES",26
16807,PNEUS E CÂMARAS DE AR DE AERONAVES,26
16808,PNEUS MACIÇO E DE BAIXA PRESSÃO,26
16809,MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR,26
