id,pdm,grupo
01473,ENVELOPADORA,35
02350,ALMOFADA DE PASSAR ROUPA INDUSTRIAL,35
02353,ALMOFADA INDUSTRIAL DE MAQUINA DE PASSAR ROUPA,35
03089,ASPERGIDOR DE LAVANDERIA,35
03103,ATADEIRA INDUSTRIAL DE ROLO DE PASSAR ROUPA,35
04077,CADEIRA DE BARBEARIA,35
04172,CAIXA REGISTRADORA,35
04344,CÂMARA FRIGORÍFICA PEÇAS / ACESSÓRIOS,35
04615,CARRO PARA COMERCIO DE PRODUTOS - AMBULANTE,35
06101,DESLACRADORA,35
06782,EQUIPAMENTO EMBALAGEM PALETES,35
06794,EQUIPAMENTO INDUSTRIAL DE MARCACAO DE ROUPA,35
07046,ESPREMEDOR INDUSTRIAL DE ROUPA,35
07228,ETIQUETADEIRA DE EMBALAGEM,35
07405,FERRO PASSAR ROUPA,35
07706,FONOGRAFO ACIONADO COM MOEDA ( FICHA ),35
07846,FRISADORA,35
07917,GANCHO METÁLICO,35
08089,GRAVADOR ACIONADO COM MOEDA ( FICHA ),35
08535,JOGO DE BARBEARIA,35
08595,APARELHO LACRADOR,35
08621,LÂMINA SERRILHAR PAPEL,35
08746,LAVATORIO - CABELO,35
09141,MÁQUINA / COMPONENTE - EMBALADORA,35
09159,MAQUINA DE BORDAR,35
09163,MÁQUINA DE CINTAR EMBALAGEM - PEÇAS / ACESSÓRIOS,35
09165,MAQUINA DE COLAR EMBALAGEM,35
09168,MAQUINA DE CONFECCIONAR BANDEJA PARA EMBALAGEM,35
09169,MAQUINA DE CONFECCIONAR CAIXA,35
09170,MAQUINA DE CONFECCIONAR CAIXOTE,35
09177,MÁQUINA DE POLIR CALÇADO,35
09181,MAQUINA DE EMPACOTAR MOEDA E FICHA TELEFONICA,35
09182,MÁQUINA TAMPADORA E ENCHEDORA,35
09198,MAQUINA DE FECHAR GARRAFA,35
09249,MAQUINA ELETRICA DE CORTAR CABELO,35
09251,MAQUINA EMBLISTADORA - PEÇAS E ACESSÓRIOS,35
09267,MAQUINA INDUSTRIAL DE COSTURA RETA,35
09275,MAQUINA INDUSTRIAL DE ENGOMAR ROUPA,35
09293,MAQUINA INDUSTRIAL DE PASSAR ROUPA,35
09301,MÁQUINA LAVAR LOUÇAS - PEÇAS / ACESSÓRIOS,35
09308,MÁQUINA LAVAR PISO,35
09309,MÁQUINA LAVAR ROUPA,35
09310,MÁQUINA LAVAR ROUPA - INDUSTRIAL,35
09311,MÁQUINA LAVAR / SECAR ROUPA - PEÇA/ACESSÓRIO,35
09312,MAQUINA MANUAL DE CORTAR CABELO,35
09324,MAQUINA PARA EMPACOTAMENTO,35
09333,MÁQUINA GRAMPEADORA,35
09339,MAQUINA PARA ROTULAGEM,35
09348,MAQUINA POLIR PISO,35
09354,MAQUINA SECADORA ROUPA,35
09357,MAQUINA TAMPAR - FRASCO / VASILHAME,35
09358,SELADORA EMBALAGEM,35
09628,MESA DE MANICURE,35
09647,MESA ELEVATÓRIA,35
10153,OFICINA MOVEL DE CONSERTO DE CALCADO,35
10463,PARQUIMETRO,35
10472,PASSADOR INDUSTRIAL DE ROUPA TIPO ROLO,35
11185,PRENSA INDUSTRIAL DE VESTUARIO,35
11810,ROLETA BORBOLETA,35
11811,ROLETA - PECA / COMPONENTE,35
11952,SARRAFO PROTEÇÃO LÂMINA CORTE,35
11957,MÁQUINA SECAR ROUPA,35
11980,SELADOR/ENCARTUCHADOR/INCAPSULADOR-PEÇA/ACESSÓRIO,35
12464,TABUA INDUSTRIAL DE PASSAR ROUPA,35
12465,TABUA PASSAR ROUPA,35
13183,UNIDADE INDUSTRIAL MOVEL PARA LAVAGEM A SECO,35
13184,UNIDADE INDUSTRIAL MOVEL PARA LAVANDERIA,35
14029,LAVADORA ALTA PRESSÃO,35
14038,MÁQUINA RECRAVADORA TAMPA,35
14142,CONJUNTO TRANSPORTADOR RÓTULOS,35
14147,BORRACHA DISCO PUXADOR RÓTULOS,35
14635,MÁQUINA COPIAR CHAVES,35
15541,FITA ALGODÃO,35
16284,MÁQUINA REABASTECIMENTO CARTUCHO IMPRESSORA,35
16409,MÁQUINA LAVAR LOUÇAS,35
16881,EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO,35
16882,EQUIPAMENTOS PARA CONSERTO DE CALÇADOS,35
16883,MÁQUINAS DE COSTURA INDUSTRIAL E OFICINAS MÓVEIS DE CONSER-TOS EM TECIDOS,35
16884,MÁQUINAS DE EMBALAGEM E EMPACOTAMENTO,35
16885,MAQUINAS INDUSTRIAIS DE VIDRO E CRISTAIS,35
16886,MÁQUINAS REGISTRADORAS AUTOMÁTICAS E MÁQUINAS ACIONADAS COMFICHAS,35
16887,EQUIPAMENTOS DIVERSOS PARA SERVIÇOS PROFISSIONAIS,35
17571,CONJUNTO DE EIXO,35
17572,EIXO DOBRADOR,35
17573,MOLA MANCAL,35
17575,CORREIA ALIMENTAÇÃO,35
17956,SELADORA ELÉTRICA,35
18332,MÁQUINA PARA ARQUEAR,35
18437,FIO CORTE,35
18912,CINTA AGRÍCOLA,35
