id,pdm,grupo
00951,VÁLVULA ESFERA,48
00958,VÁLVULA GLOBO,48
00962,VÁLVULA RETENÇÃO,48
00964,VÁLVULA AGULHA,48
00969,VÁLVULA GAVETA,48
00981,VÁLVULA MACHO,48
00998,VÁLVULA BORBOLETA,48
00999,VÁLVULA DIAFRAGMA,48
01002,VÁLVULA SOLENÓIDE,48
01192,POSICIONADOR PNEUMÁTICO,48
01261,POSICIONADOR ELETROPNEUMÁTICO,48
03125,ATUADOR HIDRAÚLICO,48
03126,ATUADOR PNEUMÁTICO,48
06518,ÊMBOLO VÁLVULA HIDRÁULICA,48
11104,POSICIONADOR DE VALVULA,48
11558,REGISTRO PEÇAS E COMPONENTES,48
11559,REGISTRO DE ALIVIO MANUAL,48
11560,REGISTRO GAVETA,48
11561,REGISTRO DE SEGURANCA MANUAL,48
11562,REGISTRO EM ANGULO MANUAL,48
11563,REGISTRO PRESSÃO,48
11564,REGISTRO TIPO TORNEIRA MANUAL,48
12805,TOMADA COM VALVULA GAS - RETA / OBLIQUA,48
13245,VÁLVULA,48
13247,VALVULA ANGULAR,48
13248,VALVULA,48
13251,VALVULA DE ALIVIO MANUAL,48
13253,VALVULA DE COMANDO HIDRAULICO,48
13254,VÁLVULA DE CONTROLE DE FLUXO,48
13259,VÁLVULA REDUTORA,48
13260,VALVULA DE GUILHOTINA,48
13262,VALVULA DE MANGOTE,48
13266,VALVULA DE PRESSAO E VACUO MANUAL,48
13267,VÁLVULA SEGURANÇA,48
13268,VALVULA DE SEGURANCA MANUAL,48
13269,VALVULA DE SUCCAO / DESCARGA DE COMPRESSOR,48
13271,VALVULA DISPERSORA,48
13274,VÁLVULA ESFÉRICA,48
13277,VALVULA OBLIQUA,48
13278,VALVULA OPERADA A MOTOR ELETRICO,48
13281,VÁLVULA PNEUMÁTICA,48
13282,VALVULA REGULADORA DE NIVEL,48
13283,VÁLVULA REGULADORA DE PRESSÃO / PEÇAS E ACESSÓRIOS,48
13284,VALVULA REGULADORA DE PRESSAO - SISTEMA HIDRAULICO,48
13285,VALVULA REGULADORA DE VAZAO,48
13288,VALVULA SISTEMA COLETA A VACUO,48
13289,VALVULA TERMOPLASTICA,48
13290,VÁLVULA TERMOSTÁTICA,48
13294,VÁLVULA VENTOSA,48
14030,VÁLVULA DE ESFERA,48
14447,VÁLVULA ELIMINADORA AR,48
14461,REGISTRO ESFERA,48
14777,VÁLVULA AUTOMÁTICA IRRIGAÇÃO,48
15065,VALVULA ROTATIVA,48
15075,CONJUNTO REPARO VÁLVULA PNEUMÁTICA,48
15206,REGULADOR PRESSÃO ÁGUA,48
15337,SALVA REGISTRO,48
15373,VÁLVULA LINHA,48
16965,VÁLVULAS ACIONADAS POR FORÇA MOTRIZ,48
16966,VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ,48
16967,ATUADORES PARA MOVIMENTACAO DE VALVULAS,48
18243,VALVULA REVERSAO,48
18750,REGISTRO GLOBO,48
