"id","pdm",grupo
00482,RELÓGIO,66
00483,RELÓGIO PONTO,66
00489,BALANÇA PRECISÃO,66
00490,BALANÇA ANALÍTICA,66
00491,BALANÇA COMERCIAL,66
00508,TERMÔMETRO BIMETÁLICO INDUSTRIAL,66
00509,PRESSOSTATO,66
00510,PRESSOSTATO ALTA / MÉDIA PRESSÃO,66
00511,NÍVEL ÓTICO,66
00512,COMPASSO TÉCNICO,66
00515,BALÃO VOLUMÉTRICO,66
00516,BALÃO DESTILAÇÃO,66
00517,BÉQUER,66
00518,PIPETA SOROLÓGICA (CONSULTAR INC 08874),66
00520,TERMÔMETRO EXPANSÃO A GÁS BULBO FIXO,66
00521,TERMÔMETRO EXPANSÃO A GÁS LEITURA À DISTÂNCIA,66
00522,MANÔMETRO,66
00523,TERMÔMETRO SOLO,66
00524,TERMÔMETRO VIDRO INDUSTRIAL,66
00526,AGITADOR MAGNÉTICO,66
00527,AGITADOR MECÂNICO,66
00529,ESTUFA,66
00530,MUFLA LABORATÓRIO,66
00541,SONICADOR,66
00545,DISPENSADOR LABORATÓRIO,66
00546,EVAPORADOR ROTATIVO VÁCUO LABORATÓRIO,66
00547,SONDA TRANSPIRAÇÃO LABORATÓRIO,66
00549,BANHO MARIA.,66
01198,ASTROLÁBIO,66
01226,PRANCHETA DESENHO,66
01259,PRISMA PARA TOPOGRAFIA,66
01298,SONDA,66
01308,CAPACÍMETRO DIGITAL,66
01332,CÂMARA DESINFESTAÇÃO,66
01338,NEGATOSCÓPIO,66
01681,ACESSORIO DE LABORATORIO DE MICROFILMAGEM,66
01685,ACESSÓRIO DE MICROSCÓPIO,66
01702,ACESSORIO DE TESTE ELETRICO / ELETRONICO,66
01855,ESPECTRÔMETRO,66
02082,ADAPTADOR DE COMPASSO DE DESENHISTA,66
02087,ADAPTADOR FILTRO,66
02125,AEROGRAFO,66
02126,AEROGRAFO ( METEOROLOGIA),66
02127,AEROGRAFO PARA PINTURA,66
02132,AEROMETRO PARA ANALISE QUIMICA,66
02133,AEROMETRO PARA LABORATORIO,66
02136,AEROMETRO PARA USO MEDICO,66
02155,AGLUTINOSCOPIO,66
02172,AGULHA,66
02194,AGULHA GRAVADORA DE ESTENCIL,66
02242,ALÇA BACTERIOLÓGICA,66
02247,ALCALINOMETRO,66
02267,ALCOOLÔMETRO (CONSULTAR ALCOÔMETRO),66
02268,ALCOÔMETRO,66
02281,PINÇA LABORATÓRIO,66
02319,ELETRODO,66
02321,ALIDADE NIVELADORA,66
02351,MONTADORA LÂMINA HISTOLÓGICA,66
02354,ALMOFARIZ,66
02368,ALTÍMETRO,66
02369,ALTIMETRO DE AERONAVE,66
02370,ALTIMETRO PARA TOPOGRAFIA,66
02403,RESINA TROCA IÔNICA,66
02435,TIRA LABORATÓRIO,66
02440,AMPERÍMETRO,66
02441,AMPERIMETRO DE DEMANDA MAXIMA,66
02443,CITÔMETRO DE FLUXO,66
02464,ANALISADOR PARÂMETROS,66
02465,ANALISADOR DE ALTERNADOR,66
02466,ANALISADOR DE CIRCUITO DE BOBINA E RESISTÊNCIA,66
02467,CNALISADOR DE DESCARGA DE MOTOR A GASOLINA,66
02469,ANALISADOR DE DISTORSAO,66
02470,ANALISADOR DE ESPECTRO,66
02472,ANALISADOR DE GÁS,66
02473,ANALISADOR DE LINHA TELEFONICA,66
02474,ANALISADOR RPM E PERMANÊNCIA,66
02475,ANALISADOR LABORATÓRIO,66
02478,ANALISADOR EFICIÊNCIA VEGETAL - FLUORÔMETRO,66
02479,ANALISADOR - PEÇA/COMPONENTE,66
02481,ANALISADOR QUÍMICO,66
02512,ANEMÔMETRO,66
02557,ANTI - HIV - MÉTODO IMUNOENZIMÁTICO,66
02636,JOGO PENTE E ESPAÇADOR,66
02637,DETERMINADOR AÇÚCARES REDUTORES,66
02644,APARELHO AGITADOR - ANALISE QUIMICA,66
02654,APARELHO AUTOMACAO MICROBIOLOGIA,66
02671,BALÃO LABORATÓRIO,66
02672,APARELHO ANÁLISE ELETROLÍTICA,66
02673,APARELHO ANÁLISE GRANULOMÉTRICA,66
02674,APARELHO DE AVALIAR A RESISTENCIA DE REVESTIMENTO A LUZ ( FADOMETRO ),66
02681,APARELHO DE COAGULAR SORO,66
02684,APARELHO CONTROLE COAGULAÇÃO,66
02688,APARELHO CULTURA ANAERÓBICA,66
02689,APARELHO DESTILAÇÃO,66
02690,PAPEL DE FILTRO,66
02691,APARELHO DE DETERMINACAO DE QUANTIDADE DE ENXOFRE,66
02692,APARELHO DETERMINAÇÃO PONTO DE FULGOR,66
02693,APARELHO DETERMINAÇÃO PONTO DE FUSÃO,66
02698,APARELHO DE ENSAIO DE ATRITO DE LUBRIFICANTE,66
02699,APARELHO ENSAIO LUBRIFICANTE / COMBUSTÍVEL,66
02700,APARELHO ENSAIO PONTO DE DERRAMAMENTO,66
02701,APARELHO DE ENSAIO DE TEOR DE GOMA DE GASOLINA,66
02702,APARELHO DE ENSAIO DE TORCAO DE ROLAMENTO,66
02705,APARELHO DE ENSAIO POR PARTICULA MAGNETICA,66
02706,APARELHO ENSAIOS FÍSICOS,66
02707,APARELHO DE ESTUDAR PROJECAO DO TERRENO,66
02716,APARELHO DE KIPP,66
02720,APARELHO MEIO DE CULTURA,66
02722,APARELHO DE MICROFRACIONAMENTO,66
02732,APARELHO RADAR - SONDA,66
02734,APARELHO DE RÁDIO - SONDA,66
02744,APARELHO TESTE INDUZIDO,66
02753,SISTEMA MICRODESTILAÇÃO,66
02759,PERCOLADOR,66
02765,APARELHO DISSOLUÇÃO COMPRIMIDO USO LABORATÓRIO,66
02784,APARELHO EXTRATOR DE LABORATÓRIO,66
02789,APARELHO HEMOSSEDIMENTACAO,66
02811,ACUMULADOR DE AR COMPRIMIDO,66
02820,APARELHO APLICAÇÃO ELETROFORESE,66
02823,APARELHO CONTAGEM DE CÉLULAS SOMÁTICAS,66
02824,BANHO SECO LABORATÓRIO,66
02828,APARELHO DETERMINAÇÃO PROTEÍNAS,66
02830,APARELHO PARA DOSAR PROTROMBINA,66
02833,APARELHO PARA ENSAIO DE DUREZA,66
02834,APARELHO PARA ENSAIO DE DUREZA - SHORE,66
02836,APARELHO HEMATOLOGIA,66
02838,APARELHO MEDIÇÃO DE ROTAÇÃO,66
02839,APARELHO PARA MEDIR BITOLA DE FIOS,66
02857,CAPTOR DE GASES - LABORATORIO,66
02867,APARELHO RAIO X PORTATIL - USO INDUSTRIAL,66
02884,TRANSILUMINADOR,66
02887,APARELHO ULTRA - SONOGRAFIA ( USO INDUSTRIAL ),66
02936,AQUECEDOR TERMOMOLDAVEL,66
02973,ARANHA PANTOGRAFICA PARA DESENHO,66
02974,ARANHA PARA NORMOGRAFO,66
02983,PEÇA EQUIPAMENTO LABORATÓRIO,66
02999,ELETROPORADOR,66
03130,AUTO - ANALISADOR DE USO MEDICO,66
03138,PROCESSADOR DE TECIDO,66
03152,AVENTAL - USO LABORATÓRIO,66
03159,AVEOMETRO,66
03165,AZIMUTE,66
03166,AZIMUTE TELESCOPICO,66
03198,BAFÔMETRO / PEÇAS E ACESSÓRIOS,66
03210,BALANÇA,66
03212,BALANCA ANALITICA,66
03213,BALANCA ANALITICA - USO LABORATORIO,66
03215,BALANÇA AR LABORATÓRIO,66
03216,SOLDA CONEXÃO BOLSA,66
03217,BALANCA DE LABORATORIO,66
03218,BALANÇA PRECISÃO LABORATÓRIO,66
03219,CORADOR LÂMINAS,66
