id,pdm
00297,LEITORA MICROFILME
00872,EPISCÓPIO
00906,PROJETOR IMAGEM
00907,PROJETOR MULTIMÍDIA
00915,TELA PROJEÇÃO
00916,BOLSA
00917,PROJETOR DE SLIDE
00921,RETROPROJETOR
00952,CABO SINCRONISMO
00953,CONJUNTO LIMPEZA FOTOGRÁFICO
00954,PINCEL LIMPEZA
00955,TAMPA PROTETORA
00956,PÁRA-SOL
00975,BANDEJA REVELAÇÃO
00976,FILME REVELAÇÃO INSTANTÂNEA
00977,MOLDURA SLIDE
00978,FILME SLIDE
00979,TRIPÉ
00980,TRIPÉ PARA FLASH
00993,MÁQUINA FOTOGRÁFICA
01024,FILMADORA PORTÁTIL
01025,PORTA-RETRATOS
01658,ACESSÓRIO / COMPONENTE - MICROFILMAGEM
01683,CARTÃO MAGNÉTICO - MÁQUINA FOTOGRÁFICA
02114,ADITIVO FOTOGRAFICO
02237,FOLHA ENCAIXE FOTOGRAFIA
02442,AMPLIADOR DE FOTOGRAFIA
02998,ARMAÇÃO SLIDE
03008,ARMARIO DE ESTOCAGEM DE MATERIAL FOTOGRAFICO
03009,ARMARIO DE FOTOGRAFIA ( FOTOTECA )
03015,ARMARIO PARA FILME FOTOGRAFICO
03102,ASSOPRADOR DE AR
03115,ATIVADOR DE VISOR - COPIADOR
03310,BANDEJA DE SLIDE
03464,BATERIA - FLASH
03862,BRANQUEADOR FOTOGRÁFICO
04038,CABO DISPARADOR DE MAQUINA FOTOGRAFICA
04322,CAMARA DE AEROFOTOGRAMETRIA
04325,CAMARA DE CARTOGRAFIA
04328,CAMARA DE FILMAGEM - ESGOTO / GALERIA SUBTERRANEA
04329,CAMARA DE FILMAGEM - POCO ( AGUA / PETROLEO )
04330,CAMARA DE FOTOCOPIADORA
04332,CAMARA DE MICROFOTOGRAFIA
04339,CÂMARA ESCURA FOTOGRAFIA
04341,CAMARA FOTOGRAFICA DE AERONAVE
04343,CAMARA FOTOGRAFICA SUBMARINA
04349,CÂMARA MICROFILMADORA
04353,CAMARA PARA FILME DE REVELACAO E COPIAGEM INSTANTANEA
04356,CÂMARA ESCURA REVELAÇÃO
04433,CANTONEIRA FOTOGRAFIA
04577,CARRETEL PARA FILME
04638,CARROSSEL DE SLIDE
04843,CHAPA FOTOGRÁFICA REVELADA
04856,ÁLBUM
05329,COLADEIRA FILME
05634,CONJUGADOR DE IMAGEM FOTOGRAFICA
05635,CONJUGADOR DE IMAGENS
05758,CONJUNTO ILUMINACAO
05774,CONJUNTO REVELACAO
05775,CONJUNTO REVELACAO CIANOACRILATO
05844,COPIADORA MICROFICHA
05928,CORTADOR FOTOGRAFIA
06333,DISPOSITIVO VISOR FILME
06580,ENROLADEIRA - ELÉTRICA / MANUAL
06612,EPIDIASCOPIO
06708,EQUIPAMENTO DE MEDICAO E MONTAGEM DE FILME FOTOGRAFICO
06709,EQUIPAMENTO DE MICROFILMAGEM ( FOTOGRAFA PESSOA E DOCUMENTO SIMULTANEAMENTE ) PHOTOSCOPE
06743,EQUIPAMENTO / ACESSÓRIOS FOTOGRÁFICOS
06785,EQUIPAMENTO ESPECIALIZADO DE ENSAIO FOTOGRAFICO
06895,ESCALA - FOTOGRAFIA EVIDENCIA
07066,ESTABILIZADOR - FOTOGRAFICO
07149,ESTOJO ( KIT ) LIMPEZA LENTE - USO FOTOGRAFICO
07156,ESTOJO DE MARCACAO DE NEGATIVO FOTOGRAFICO
07167,ESTOJO PORTATIL DE ILUMINACAO FOTOGRAFICA
07429,FILME FOTOGRAFIA
07430,FILME / PELÍCULA IMPRESSÃO LASER
07432,FILME CINEANGIO
07433,FILME CINEMATOGRAFICO MUDO
07434,FILME CINEMATOGRAFICO REVELADO
07435,FILME CINEMATOGRAFICO SONORO
07436,FILME DE FOTOLITO
07437,FILME DE MICROFILMAGEM
07438,FILME POLIÉSTER
07447,FILME FOTOGRÁFICO PROCESSADO
07473,FILTRO
07477,FILTRO DE SELECAO DE COR
07621,FIXADOR FILME PARA FOTOLITO
07622,FIXADOR FOTOGRÁFICO
07635,FLASH
07801,FOTOCÉLULA
07810,FOTOGRAFIA PROFISSIONAL
07811,FOTOMAPA
07814,FOTÔMETRO FOTOGRÁFICO
07957,GELATINA - USO FOTOGRAFICO
08280,CÂMARA AUTOMÁTICA
08284,ILUMINADOR PARA FILMAGEM
08307,IMPRESSOR
08377,INICIALIZADOR ( START ) - FOTOGRAFICO
08534,JOGO DE ALGARISMO DE IMPRESSAO FOTOGRAFICA
08549,JOGO DE LETRA DE IMPRESSAO FOTOGRAFICA
08721,LAPIS PARA RETOQUE FOTOGRAFICO
08778,LENTE
08787,LENTE OBJETIVA DE MÁQUINA FOTOGRÁFICA
08788,LENTE PARA CAMARA FOTOGRAFICA
09480,MATERIAL PARA CARTOGRAFIA
09631,MESA DE RETOQUE DE NEGATIVO FOTOGRAFICO / FOTOLITO
09659,MESA REPRODUÇÃO FOTOGRÁFICA
09730,MICROFILME
10068,NEGATIVO DE FOTOIMPRESSAO
10070,NEGATOSCOPIO - SLIDE
10137,OBJETIVA DE MICROFILMAGEM
10377,PAPEL VIDEOIMPRESSÃO
10421,PARA-SOL
10567,PECA/COMPONENTE MAQUINA PROVA DE COR
10594,PEGADOR PARA FILME FOTOGRAFICO
10604,PELICULA REFLETIVA
10735,PINCEL LIMPEZA FOTOGRAFICO
10939,PO REVELACAO IMPRESSOES PAPILARES
11046,PORTA-NEGATIVO FILME
11165,PRENDEDOR DE CHAPA FOTOGRAFICA
11197,PRENSADOR FOTOGRAFICO
11222,PROCESSADORA DE MICROFILME
11223,PEÇAS / COMPONENTES PROCESSADORA FILME FOTOGRÁFICO
11237,PRODUTO QUIMICO PARA FOTOGRAFIA
11256,PROJETOR DE FILME
11257,PROJETOR DE FOTOMAPA
11313,PROTETOR DE LENTE DE MAQUINA FOTOGRAFICA
11445,REBOBINADOR FILME FOTOGRÁFICO
11523,REFLETOR ( FLASH )
11565,RÉGUA FOTOGRAFIA EVIDÊNCIA
