ID,PDM
01290,SOQUETE ARMA DE FOGO
01291,SOQUETE ARMA DE FOGO
01712,PEÇAS / ACESSÓRIOS ARMAMENTO
02994,ARMA DE FOGO - EMPUNHÁVEL - MÉDIO PORTE
02995,ARMA DE FOGO DE PEQUENO PORTE - REVÓLVER / PISTOLA
03204,BAINHA FACÃO CAÇA
04050,CABO PARA ARMA DE FOGO
04419,PEÇAS / COMPONENTES CANHÃO
04570,CARREGADOR PARA MUNIÇÃO
06944,ESCOVA DE LIMPEZA DE ARMA
07019,ESPINGARDAS PARA CACA SUBMARINA
07120,ESTEIRAS PARA CARGAS DE PROFUNDIDADE
07155,ESTOJO DE LIMPEZA DE ARMA
07282,FACOES DE CACA
07688,FOLE PARA CANHAO
07889,FUZIS
08681,LANCA-CHAMAS
08686,LANCADORES ADAPTAVEIS PARA EMPREGO DE MISSEIS GUIADOS
08687,LANCADORES DE CARREGAMENTO SIMPLES PARA ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATE 75MM
08688,LANCADORES DE DE TIROS AUTOMATICOS PARA ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATE 75MM
08689,LANCADORES DE FOGUETES AEROTRANSPORTADOS
08690,LANCADORES DE GRANADA DE CARTUCHOS COMPLETO PARA ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATE 75MM
08691,LANCADORES DE GRANADAS DE CARREGAMENTO AUTOMATICO PARA ARMAS DE FOG DE CALIB ACIMA DE 30MM ATE 75MM
09520,MECANISMOS DE CULATRA PARA ARMAS DE CALIBRE ACIMA DE 30MM ATE 75MM
09521,MECANISMOS DE CULATRAS PARA ARMAS DE CALIBRE ACIMA DE 125MM ATE 150MM
09522,MECANISMOS DE CULATRAS PARA ARMAS DE CALIBRE ACIMA DE 300MM
09523,MECANISMOS DE CULATRAS PARA ARMAS DE CALIBRE ACIMA DE 75MM ATE 125MM
09524,MECANISMOS DE INSTRUCAO PARA ARMAS DE CALIBRE ACIMA DE 300MM
09706,METRALHADORA / COMPONENTE
09707,METRALHADORAS
10799,PISTOLA
10904,PLATAFORMAS DE DISPARO PARA ARMAS DE CALIBRE ACIMA DE 150MM ATE 200MM
11501,REDE DE NEBLINA
11529,REFLETORES PARA ARMAS DE CALIBRE ACIMA DE 200MM ATE 300MM
11747,RIFLES
11873,SABRE
12058,SILENCIADOR DE ARMA
12060,SILENCIADORES
12073,SIMULADORES DE ARTILHARIA
12074,SIMULADORES DE VEICULOS
12075,SIMULADORES DE AERONAVES
12124,SISTEMA DE LIMPEZA / MANUTENCAO DE MATERIAL BELICO PORTATIL
12172,COMPONENTE / SOBRESSALENTE USO MILITAR
12377,SUPORTE DE ARMAS DE CALIBRE ACIMA DE 30MM ATE 75MM
12409,SUPORTE PARA ARMAS DE CALIBRE ACIMA DE 75MM ATE 125MM
12430,SUPORTES PARA ARMAS DE CALIBRE ACIMA DE 150MM ATE 200MM
12505,TAMBORES
13130,PEÇAS / COMPONENTES TUBOS DE TORPEDOS
13794,ANEL FERROLHO
13795,CHAVE FERROLHO
13796,EXTRATOR CÁPSULA
13797,TUBO TOMADA GÁS
13799,REFORÇADOR TIRO FESTIM
13800,MOLA EJETOR
13801,EJETOR
13802,PINO SEGURANÇA MIRA
13803,PINO TUBO TOMADA GÁS
13808,MOLA EXTRATOR
13809,INSERSOR MOLA EXTRATOR
13810,PERCUSSOR
14112,MOLA RECUPERADORA
14115,EMPUNHADURA METRALHADORA
14123,MOLA PERCUSSOR
14124,GUARDA-MÃO SUBMETRALHADORA
14125,BANDOLEIRA
14129,SUPORTE ROLETE
14174,FACA OPERAÇÃO TÁTICA
14928,MOLA ARMADILHA PISTOLA
14930,CANO PISTOLA
14934,MERGULHADOR BLOCO TRANCAMENTO
14981,BLOCO TRANCAMENTO
14983,TIRANTE GATILHO
14985,MOLA TIRANTE GATILHO
14986,ARMADILHA
14988,CÃO
14990,IMPULSOR TRAVA PERCUSSOR
14991,MOLA GATILHO
14992,MOLA RETÉM FERROLHO
14995,MOLA MERGULHADOR REGISTRO SEGURANÇA
14996,FUNDO CARREGADOR
14998,PLACA PUNHO
14999,PARAFUSO PLACA PUNHO
15001,BUCHA PLACA PUNHO
15002,CARREGADOR MUNIÇÃO
15003,ESTOJO PORTA CARREGADOR
15007,MOLA CÃO
15115,MOLA REGISTRO SEGURANÇA PISTOLA
15130,BUCHA DA PLACA PUNHO ESQUERDO
15402,KIT CONVERSÃO
15404,CONJUNTO CONVERSÃO MUNIÇÃO
15813,PERCINTA
16109,ESTOJO LIMPEZA ARMAMENTO
16657,ARMA NÃO LETAL
16658,ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATÉ 75MM
16659,ARMAS DE FOGO DE CALIBRE ACIMA DE 75MM ATÉ 125MM
16660,ARMAS DE FOGO DE CALIBRE ACIMA DE 125MM ATÉ 150MM
16661,ARMAS DE FOGO DE CALIBRE ACIMA DE 150MM ATÉ 200MM
16662,ARMAS DE FOGO DE CALIBRE ACIMA DE 200MM ATÉ 300MM
16663,ARMAS DE FOGO DE CALIBRE ACIMA DE 300MM
16664,ARMAMENTO E EQUIPAMENTOS DE GUERRA QUÍMICA
16665,LANÇADORES DE TORPEDOS E DE BOMBAS DE PROFUNDIDADE
16666,LANÇADORES DE FOGUETES E PIROTÉCNICOS
16667,REDES SUBMARINAS DE DEFESA DE PORTOS
16668,EQUIPAMENTOS DE DESMAGNETIZAÇÃO E DE VARREDURA DE MINAS
16669,ACESSÓRIO/EQUIPAMENTO CAMUFLAGEM E DISSIMULAÇÃO
16670,CONJUNTOS INTERCAMBIÁVEIS DE DUAS OU MAIS CLASSES
17586,ANEL VEDAÇÃO ARMAMENTO
17587,PARAFUSO ARMAMENTO
17996,ESPARGIDOR DEFENSIVO
18369,PORCA ARMAMENTO
