"id","pdm"
01670,ACESSORIO DE APARELHO DE MANOBRA FERROVIARIO
01682,ACESSORIO DE LUBRIFICADOR DE VIA FERREA
01704,ACESSORIO DE TRILHO DE VIA FERREA
01705,ACESSORIO E COMPONENTE DE LOCOMOTIVA
01706,ACESSORIO E COMPONENTE DE LOCOMOTIVA E VAGAO FERROVIARIO
01707,ACESSORIO E COMPONENTE DE VAGAO FERROVIARIO
01715,ACESSORIO PARA DORMENTE
01724,ACESSORIO PARA TRUQUE FERROVIARIO
02195,AGULHA LEITO FERROVIA
02204,AGULHA TRILHO FERROVIA
02231,ALAVANCA DE USO FERROVIARIO
02334,ALINHADOR DE TRILHO FERROVIARIO
02680,APARELHO DE CHOQUE PARA LOCOMOTIVA E VAGAO FERROVIARIO
02719,APARELHO DE MANOBRA FERROVIARIO
02724,APARELHO DE MUDANCA DE VIA - CRUZAMENTO FERROVIA-RIO
02745,APARELHO DE TRACAO PARA LOCOMOTIVA E VAGAO FERROVIARIO
03023,ARO DE RODA FERROVIARIA
03049,ARRUELA DE DORMENTE
03588,BITOLA DE FERRO PARA LINHA FERROVIARIA
03936,BUCHA DE MANCAL DE FRICCAO FERROVIARIA
03944,BUCHA PARA DORMENTE
04590,CARRO - GUINDASTE FERROVIARIO
04604,CARRO DE MANUTENCAO DE LEITO DE FERROVIA
04608,CARRO DE TESTE DE LEITO DE FERROVIA
04611,CARRO FERROVIARIO AUTOMOTRIZ
04612,CARRO FERROVIARIO REBOCAVEL
04763,CENTRO DE RODA FERROVIARIA
04841,CHAPA ESPECIAL PARA CARRO E VAGAO FERROVIARIO
05411,COMPONENTE DE APARELHO DE MANOBRA FERROVIARIO
05412,COMPONENTE DE ENGATE FERROVIARIO
05413,COMPONENTE DE MANCAL DE VAGAO FERROVIARIO
05414,COMPONENTE DE MANCAL DE VEICULO FERROVIARIO
05415,COMPONENTE DE MANCAL PARA LOCOMOTIVA
05418,COMPONENTE DE RODEIRO DE VEICULO FERROVIARIO
