00080,BARBANTE ALGODÃO
01223,BRAÇADEIRA CABO AÇO
01660,ACESSORIO / PECA - AMARRACAO NAVIO / PLATAFORMA
01717,ACESSORIO PARA LINGA DE CORRENTE
02119,ADRICA DE BANDEIRA
02391,AMARRA - MARINHA
02503,ANEL GUIA
02504,ANEL GUIA DE CORDA
03324,BARBANTE
03325,BARBANTE DE SISAL
04010,CABO AÇO
04011,CABO DE ACO GALVANIZADO
04012,CABO DE AÇO PARA REBOQUE
04013,CABO DE ACO POLIDO
04014,CABO AMARRAÇÃO DE EMBARCAÇÃO
04024,CABO DE CORDOALHA
04027,CABO DE FIBRA
04060,CABO TEXTIL
05701,CONJUNTO DE CABO DE ACO
05708,CONJUNTO DE CORRENTE
05852,CORDA FIBRA
05854,CORDA
05855,CORDA DE POLIESTER
05856,CORDA DE SISAL
05858,CORDÃO ARREMATE
05869,CORDEL DE FIBRA
05871,CORDOALHA
05872,CORDOALHA DE ACO
05873,CORDOALHA DE ACO DE PUXAMENTO DE CABO
05876,CORDOALHA DE COBRE DE PUXAMENTO DE CABO
05899,CORRENTE SOLDADA
05900,CORRENTE - GALVANIZADA
05901,CORRENTE COM SOLDA
05903,CORRENTE DE ACO
05905,CORRENTE DE ARAME
05908,CORRENTE PARA CARGA DE ARAME
05909,CORRENTE PARA ELEVACAO / SUSPENSAO DE CARGA
05910,CORRENTE PARA TALHA - ELETRICA / PNEUMATICA / MA-NUAL
05911,CORRENTE SEM SOLDA
06488,OLHAL
06490,ELO PARA CORRENTE
06522,EMENDA DE CABO DE FIBRA
06524,EMENDA PARA CORRENTE
06563,ENFRECHADURA
07133,ESTICADOR DE CABO ( TENSOR )
07613,FITILHO
07617,FIXADOR CARGA
07914,GANCHO DE CARGA
07929,GARRA DE CORDOALHA
08074,GRAMPO PARA CABO
10738,PINGENTE PARA ICAMENTO / SUSPENSAO / MOVIMENTACAO DE CARGA
11169,PRENDEDOR PARA CORRENTE
11203,PRESILHA DE CABO / CORDA
11364,QUARTEL DE AMARRA
11382,RABICHO
11940,SAPATILHA DE CABO / CORDA
12650,TERMINAL DE CABO DE ACO
12651,TERMINAL DE CABO DE FIBRA
12783,TIRANTE
16931,CORRENTES E CABOS DE AÇO
16932,FIO
16933,ACESSÓRIOS PARA CORDAS. CABOS E CORRENTES
