"id","pdm","grupo"
00536,PARAFUSO CABEÇA QUADRADA,53
00550,PARAFUSO AUTO-ATARRAXANTE,53
00551,PARAFUSO ROSCA MADEIRA,53
00552,ANEL VEDAÇÃO,53
00553,ARRUELA VEDAÇÃO,53
00554,CADEADO,53
00555,CORDÃO VEDAÇÃO,53
00556,DOBRADIÇA JANELA,53
00557,DOBRADIÇA PORTA,53
00558,DOBRADIÇA PORTEIRA,53
00559,DOBRADIÇA MÓVEIS,53
00560,DOBRADIÇA PORTÃO,53
00562,GANCHO REDE,53
00563,PORTA-CADEADO,53
00564,TARJETA,53
00565,ESPELHO FECHADURA,53
00566,FECHADURA,53
00567,DISCO CORTE,53
00568,DISCO DIAMANTADO,53
00569,DISCO DESBASTE,53
00570,ESCOVA ABRASIVA,53
00578,ABRAÇADEIRA,53
00579,GAXETA,53
00580,TELA METÁLICA,53
00581,DISCO ABRASIVO,53
00582,PEDRA AFIAR,53
00584,REBOLO ABRASIVO,53
00585,LIXA,53
00602,JUNTA FITA VEDAÇÃO,53
00603,JUNTA VEDAÇÃO PLANA,53
00604,MOLA HELICOIDAL,53
00610,REBITE POP,53
00612,ABRAÇADEIRA PARA MANGOTE,53
00613,PONTA MONTADA,53
00631,PREGO ANELADO,53
00632,PREGO ARDOX COM CABEÇA,53
00633,PREGO ARDOX SEM CABEÇA,53
00634,BUCHA PARAFUSO,53
00635,PREGO COM CABEÇA,53
00636,PREGO COM CABEÇA DUPLA,53
00637,PREGO PARA TACO,53
00638,PREGO QUADRADO,53
00639,PREGO SEM CABEÇA,53
00640,PREGO PARA TELHA,53
00641,PREGO VIDRACEIRO,53
00642,ARRUELA,53
00831,PARAFUSO PRISIONEIRO,53
00982,PORCA PLANA,53
01221,ABRASIVO,53
01234,ABRAÇADEIRA,53
01609,ABRACADEIRA,53
02271,ALDRABA,53
02431,AMORTECEDOR DE VIBRACAO ( FERRAGEM ),53
02489,ANEL,53
02494,ANEL DE FRENAMENTO,53
