id,pdm
00765,ESCADA DOMÉSTICA
00970,TORRE AUTOPORTANTE
00971,TORRE LINHA TRANSMISSÃO
00973,ARQUIBANCADA
00974,LAJE ALVEOLAR
00983,RESERVATÓRIO RESFRIADO
00984,TANQUE COMBUSTÍVEL ARMAZENAGEM
00985,TANQUE EXPANSÃO RESFRIAMENTO LEITE
00986,TANQUE REFRIGERADO
00987,TANQUE
00988,VASO PRESSÃO - TANQUE AQUECIDO
00989,VASO PROCESSO
00990,TORRE LINHA TRANSMISSÃO ATÉ 500 KV
00991,VASO PULMÃO
01000,ANDAIME
01001,ESTACA FUNDAÇÃO
01003,ANDAIME ISOLANTE
01004,SAPATA ANDAIME
01005,CORRIMÃO
01006,ESTICADOR
01008,VIGA V
01017,TORRE CONTROLE
01018,TORRE PROJETOR
01023,TORRE ANTENA
01208,ABRIGO
01209,ABRIGO EQUIPAMENTO METEOROLÓGICO
01680,ACESSORIO DE GUARITA
01694,ACESSORIO DE PONTE FIXA
01695,ACESSORIO DE PONTE FLUTUANTE
01696,ACESSORIO DE PONTE MISTA
01722,ACESSORIO PARA TANQUE DE ARMAZENAMENTO
02359,ALOJAMENTO PRE - FABRICADO
03018,ARMAZEM INFLAVEL
03019,ARMAZEM PRE - FABRICADO
03411,BASE DE ANTENA DE USO EXTERNO
03421,BASE DE TORRE DE ANTENA
03621,BLOCO MOLDADO PARA CONSTRUÇÃO
03653,BÓIA DE ANCORAGEM
03796,BOMBA SUCÇÃO FLUTUANTE TANQUE ARMAZENAMENTO
03854,BRACADEIRA PARA TORRE PRE - FABRICADA
04126,CAIXA DE CORREIO
04680,CASA PRÉ - FABRICADA
04733,CELEIRO
04734,CELEIRO PRE - FABRICADO
05290,COBERTURA LEVE
05423,PEÇAS/COMPONENTES PRÉ-FABRICADOS
06051,DEGRAU DE TORRE PRE - FABRICADA
06422,EDIFICAÇÃO PRÉ-FABRICADA
06591,ENVOLTORIO ( TIPO VEDACAO ) - TANQUE DE PETROLEO
06592,ENVOLTÓRIO - TANQUE PRESSÃO
06593,ENVOLTÓRIO - TANQUE VÁCUO
06875,ESCADA DE ALUMINIO SINGELA
06879,ESCADA DE MADEIRA SINGELA
06881,ESCADA TREPADEIRA
06882,ESCADA EXTENSÍVEL DE ALUMÍNIO
06884,ESCADA EXTENSIVEL DE MADEIRA
06885,ESCADA
06892,ESCADA TIPO CAVALETE
06957,ESFERA DE ARMAZENAMENTO
07045,ESPORA PARA TREPAR EM POSTE E COMPONENTES
07076,ESTACA FUNDACAO
07196,ESTRUTURA DE CONCRETO PARA LINHA ACIMA DE 145KV
07197,ESTRUTURA DE CONCRETO PARA LINHA DE ATE 72,5KV INCLUSIVE
07198,ESTRUTURA DE CONCRETO PARA LINHA DE 72,5KV ATE 145KV INCLUSIVE
07199,ESTRUTURA DE CONCRETO PARA PONTE
07201,ESTRUTURA E SUPORTE METALICO PARA SUBESTACAO
