id,pdm,grupo
00229,MODULADOR DEMODULADOR,58
00293,GRAVADOR SOM,58
01166,IDENTIFICADOR CHAMADAS TELEFÔNICAS,58
01168,FITA IMPRESSÃO TELEX,58
01171,TELEIMPRESSORA,58
01172,RÁDIO TRANSCEPTOR,58
01174,APARELHO TELEFÔNICO SEM FIO,58
01185,SISTEMA COMUNICAÇÃO MÓVEL,58
01243,APARELHO TELEFÔNICO CELULAR,58
01244,APARELHO TELEFÔNICO CONVENCIONAL,58
01245,APARELHO TELEFÔNICO DIGITAL,58
01246,SONDA SUBMARINA,58
01247,SONAR,58
01270,ANTENA SISTEMA MICROONDAS,58
01271,SISTEMA MICROONDAS,58
01274,ANALISADOR PROTOCOLO,58
01279,EQUALIZADOR SOM,58
01280,AMPLIFICADOR SOM,58
01286,MISTURADOR ÁUDIO / VÍDEO,58
01307,GRAVADOR/REPRODUTOR,58
01317,TELEFONE COMUNICAÇÃO SATÉLITE,58
01381,TRANSCEPTOR,58
01382,RADAR,58
01667,ACESSORIO DE ANTENA DE ONDA LONGA MEDIA E CURTA,58
01669,ACESSORIO DE APARELHO DE CRIPTOLOGIA,58
01701,ACESSORIO DE SISTEMA DE DOCAGEM DE AERONAVE,58
01713,ACESSÓRIO PARA CENTRAL TELEFÔNICA PRIVADA,58
02095,ADAPTADOR PARA GRAVADOR SONORO,58
02183,AGULHA EQUIPAMENTO FONOGRÁFICO,58
02446,AMPLIFICADOR DE ÁUDIO,58
02447,AMPLIFICADOR DE AUDIO / FREQUENCIA DE AERONAVE,58
02448,AMPLIFICADOR POTÊNCIA,58
02449,AMPLIFICADOR FONE OUVIDO,58
02450,AMPLIFICADOR DE SINAL TELEFONICO ( COBERTURA ),58
02451,AMPLIFICADOR DE SINAL TELEFONICO,58
02453,AMPLIFICADOR DE VIDEO,58
02454,AMPLIFICADOR DISTRIBUIDOR DE VIDEO,58
02537,ANTENA DE AERONAVE,58
02641,APARELHO / SISTEMA DE RADIO CHAMADA ( BIP ),58
02683,ROLO PRESSOR,58
02686,APARELHO DE CRIPTOLOGIA,58
02687,APARELHO DE CRIPTOTECNICA,58
02726,APARELHO DE OBSERVACAO NOTURNA,58
02751,APARELHO DE VISADA ( NOTURNO),58
02875,APARELHO TELEFÔNICO,58
02876,APARELHO TELEFONICO - CIFRACAO DE VOZ,58
02877,APARELHO TELEFONICO FIXO/MOVEL - SATELITE,58
02878,APARELHO TELEFONICO MAGNETICO,58
02879,APARELHO TELEFÔNICO PARA DEFICIENTE AUDITIVO,58
03137,AUTOCOMUTADOR ELETRONICO DE TRANSITO PARA TELECOMUNICACAO,58
03555,BILHETADORA,58
03602,BLOCO CONECTOR,58
03614,BLOCO DE PROTEÇÃO PARA TELEFONIA,58
03629,BLOQUEADOR CHAMADA DE SEGURANÇA,58
03630,BLOQUEADOR DE CHAMADAS TELEFÔNICAS,58
03660,BÓIA SINALIZAÇÃO SONORA,58
04002,CABINE TELEFONICA PORTATIL,58
04111,CAIXA ACÚSTICA,58
04321,CAMUFLADOR MINI DOME,58
04385,CAMPAINHA TELEFÔNICA,58
04443,CAPA APARELHO TELEFÔNICO CELULAR,58
04451,CAPA CÂMARA VÍDEO,58
04494,CAPSULA DE TOCA - DISCO,58
04500,CÁPSULA TELEFONE,58
04532,CARCACA DE APARELHO TELEFONICO,58
04653,CARTAO DE SISTEMA TELEFONICO,58
04744,CENTRAL COMUTADORA TELEX PRIVADA,58
04745,CENTRAL DE COMUTACAO TELEFONICA,58
04746,CENTRAL DISCAGEM DIRETA,58
04751,CENTRAL PRIVADA COMUTAÇÃO TELEFÔNICA / RÁDIO,58
04752,CENTRAL TELEFÔNICA - COMPONENTE / ACESSÓRIO,58
04753,CENTRAL TELEFONICA COMUNITARIA RURAL,58
04754,CENTRAL TELEFÔNICA ANALÓGICA DIGITAL,58
04919,CHAVE PARA COMUTACAO TELEFONICA,58
05300,CODIFICADOR DE AUDIO FREQUENCIA,58
05391,COMPARADOR SINAL,58
05410,COMPONENTE DE APARELHO DE CRIPTOLOGIA,58
05417,COMPONENTE DE REPETIDOR TELEFONICO E TELEGRAFICO,58
05447,COMPONENTE ESPECIFICAMENTE PROJETADO PARA VISAO NOTURNA,58
05448,COMPONENTE ESPECIFICO - EQUIPAMENTO DE CONTRA - MEDIDA ELETRONICA,58
05449,COMPONENTE ESPECIFICO DE EQUIPAMENTO DE CONTRA - CONTRA - MEDIDA ELETRONICA,58
05569,CONECTOR - TELEFONIA / PAR TRANCADO,58
05689,PEÇAS/ACESSÓRIOS - RADIOCOMUNICAÇÃO,58
05691,CONJUNTO TELEFONE MÓVEL,58
05785,CONTADOR CHAMADA TELEFÔNICA,58
05821,CONTROLE DE CODIGO,58
05834,CONVERSOR IMAGEM NOTURNA,58
05863,CORDÃO TELEFÔNICO,58
06045,DECODIFICADOR ÁUDIO FREQUÊNCIA,58
06125,DETECTOR DE ALVO ( VISAO NOTURNA ),58
06253,DISCO DE APARELHO TELEFONICO,58
06271,DISCRIMINADOR DE SINAL,58
06311,DISPOSITIVO DE OBSERVACAO,58
06312,DISPOSITIVO DE OBSERVACAO NOTURNA POR RADIACAO,58
06319,DISPOSITIVO DE VISADA,58
06320,DISPOSITIVO DE VISADA PARA VISAO NOTURNA POR RADIACAO EMITIDA E REFLETIDA,58
06321,DISPOSITIVO DE VISADA POR RADIACAO,58
06356,DISTRIBUIDOR GERAL CENTRAL TELEFÔNICA,58
06641,EQUIPAMENTO SIGTOT,58
06646,EQUIPAMENTO BLOQUEADOR DE INTERURBANO,58
06665,EQUIPAMENTO DE BUSCA PESSOAL,58
06671,EQUIPAMENTO DE COMUNICACAO OPTICO,58
06672,EQUIPAMENTO DE COMUNICACAO POR LUZ,58
06675,EQUIPAMENTO DE CONTRA. CONTRAMEDIDA ELETRONICA,58
06676,EQUIPAMENTO DE CONTRAMEDIDA DE RADIO - RADAR,58
06682,EQUIPAMENTO DE CRIPTOLOGIA,58
06685,EQUIPAMENTO DE DETECCAO DE SOM SUBMARINO,58
06702,EQUIPAMENTO DE INTERCOMUNICACAO E AMPLIFICACAO DE VOZ DE AERONAVE,58
06703,EQUIPAMENTO DE INTERCOMUNICACAO E AMPLIFICACAO DE VOZ DE CARRO BLINDADO,58
06704,EQUIPAMENTO DE INTERCOMUNICACAO E AMPLIFICACAO DE VOZ EXCETO DE AERONAVE,58
06714,EQUIPAMENTO DE ORIENTACAO ( RADIOGONIOMETRIA ) DE AERONAVE,58
06715,EQUIPAMENTO DE ORIENTACAO / PROTECAO NAVEGACAO EM ONDAS LONGAS MEDIAS E CURTAS,58
06716,EQUIPAMENTO DE ORIENTACAO E PROTECAO A NAVEGACAO E VOO EM VHF E UHF,58
06728,EQUIPAMENTO DE PROCESSAMENTO DE SINAL DE ÁUDIO,58
06732,EQUIPAMENTO RÁDIOCOMUNICACAO EM SHF,58
06733,EQUIPAMENTO RÁDIO COMUNICAÇÃO SSB - CW EM HF,58
06734,EQUIPAMENTO DE RADIO COMUNICACAO SSB EM HF,58
06735,EQUIPAMENTO DE RADIO NAVEGACAO TIPO LORAN EXCETO DE AERONAVE,58
