id,pdm
06861,EQUIPAMENTOS OPERACIONAIS DE REGULAGEM DE ARMAMENTO NUCLEAR
07026,ESPOLETA DE DISPARO
07034,ESPOLETAS
07194,ESTROPOS PARA ARMAMENTO NUCLEAR
07722,FONTES DE ENERGIA PARA DETONACAO E DISPARO
11469,REBOQUES ESPECIAIS PARA ARMAMENTO NUCLEAR
11970,SECOES DE BASE
11971,SECOES DE CARCACAS
11972,SECOES DE CORPO
11973,SECOES DE OGIVAS
12167,SISTEMAS DE ARMAR E DETONAR VEICULOS ESPACIAIS NUCLEARES DE REENTRADA
12429,SUPORTES PARA ARMAMENTO NUCLEAR
13195,UNIDADES CONSUMIVEIS DE DETONACAO E DISPARO DE ARMAS NUCLEARES
16672,BOMBAS NUCLEARES
16673,PROJÉTEIS NUCLEARES
16674,OGIVAS NUCLEARES E SEÇÕES DE OGIVAS NUCLEARES
16675,BOMBAS NUCLEARES DE PROFUNDIDADE
16676,CARGAS NUCLEARES DE DEMOLIÇÃO
16677,FOGUETES NUCLEARES
16678,CONJUNTOS DE CONVERSÃO PARA ARMAMENTO NUCLEAR
16679,DISPOSITIVOS DE DETONAÇÃO E DISPARO DE ARMAMENTO NUCLEAR
16680,COMPONENTES NUCLEARES
16681,COMPONENTES EXPLOSIVOS E PIROTÉCNICOS DE ARMAMENTO NUCLEAR
16682,EQUIPAMENTO ESPECIALIZADO DE MANUSEIO E ENSAIO DE ARMAMENTONUCLEAR
16683,MATERIAL BÉLICO NUCLEAR DIVERSOS
